feature,missing_rate,zero_rate,unique_count,mean,std
horse_finish_cv_last5,0.0,0.001981296560469171,563,0.43513150258518923,0.06893657592628896
horse_finish_range_last5,0.0,0.001981296560469171,18,5.008955460453321,0.8035147109422109
horse_finish_trend_last5,0.0,0.9528451418608337,126,0.004826425676063829,1.4322801999511499
horse_top3_rate_last10,0.0,0.021952765889998414,24,0.20332150216244368,0.06269877238712121
horse_experience_log,0.0,0.02234902520209225,9,0.697876206616464,0.1656135344628287
jockey_finish_cv_last10,0.0,0.0,815,0.5312003593731642,0.055164395047684237
trainer_finish_cv_last10,0.0,0.0,817,0.5172699705578996,0.05818936582919604
horse_consistency_score,0.0,0.0,558,2.495815907644158,4.392768371039833
jockey_consistency_score,0.0,0.0,815,1.8741981980848788,0.42037810403553355
trainer_consistency_score,0.0,0.0,817,1.925753191349865,0.36695480759331084
distance_win_rate,0.0,0.750832144555397,69,0.08358493124748619,0.1945158437237098
distance_avg_finish,0.0,0.0,465,5.633878581734359,2.22511697068134
surface_avg_finish,0.0,0.0,875,6.005398279845896,2.3495444003856396
surface_win_rate,0.0,0.3281027104136947,112,0.11337706018542473,0.15910684792886867
venue_win_rate,0.0,0.8298462513869076,44,0.07225812798922458,0.2016377089921428
venue_top3_rate,0.0,0.23133618640038042,66,0.30009337210634673,0.2765001583928585
condition_avg_finish,0.0,0.0,697,6.185927502224721,2.4165513203816955
condition_win_rate,0.0,0.7063718497384689,80,0.07959374782216228,0.17549183461569914
weather_win_rate,0.0,0.7291171342526549,64,0.07703883063039021,0.1752250623022066
weather_avg_finish,0.0,0.0,615,6.229209977208842,2.4535330737682615
jockey_distance_win_rate,0.0,0.057933111428118564,556,0.07127127303889776,0.06181390759109546
jockey_surface_win_rate,0.0,0.017910920906641307,241,0.0711279370700606,0.04698084232182674
jockey_venue_win_rate,0.0,0.02662862577270566,355,0.06759619229032138,0.04669248493743181
dist_surf_win_rate,0.0,0.7633539388175622,63,0.08436285950870974,0.2000551049515755
horse_running_style,0.0,0.0,2154,0.9116319001193357,0.2554439222792918
horse_early_position,0.0,0.0,1216,6.574861562047849,2.6728046659298643
horse_avg_last_3f,0.0,0.0,2670,36.68870965802792,2.0767937124856535
race_expected_pace,0.0,0.0,819,0.8836456371739448,0.1922950541065922
slow_pace_affinity,0.0,0.0,832,7.008063187885974,2.5618117503338484
fast_pace_affinity,0.0,0.0,374,4.8167753905537305,2.186222694506558
passing_order2_std,0.0,0.010223490252020923,2939,3.1807649468258354,1.1638582599978202
passing_order4_std,0.0,0.010461245839277223,1487,2.998397240064347,0.906293050765473
horse_closing_kick_avg,0.0,0.07378348391187192,517,0.2578415674458103,1.413086343344862
jockey_horse_avg_finish,0.0,0.0,284,5.2431920505340255,2.0033132207957847
jockey_horse_win_rate,0.0,0.8671738785861468,48,0.056530439555844435,0.17831939469266134
trainer_horse_avg_finish,0.0,0.0,960,6.388797757700156,2.532182390844369
trainer_horse_win_rate,0.0,0.3731970201299731,119,0.1016927277002373,0.15206310515396332
jockey_trainer_win_rate,0.0,0.2788873038516405,468,0.07769967580821951,0.09614597854959546
jockey_trainer_avg_finish,0.0,0.0,1613,7.514788589599959,1.9113829998900203
jockey_new_avg_finish,0.0,0.0,98,5.173060971099487,2.1870051310156504
jockey_継続_avg_finish,0.0,0.0,196,5.120755511339359,1.4918365609756719
sire_dist_avg_finish,0.0,0.0,710,7.463276166901522,0.9329201725231056
sire_surf_avg_finish,0.0,0.0,493,7.46424016956992,0.8350897717325902
damsire_dist_avg_finish,0.0,0.0,1119,7.539974885676527,1.042272851400007
damsire_surf_avg_finish,0.0,0.0,871,7.565765548521174,0.8983867175988707
is_after_long_rest,0.0,0.8461721350451735,2,0.15382786495482645,0.3607979622210927
is_after_mid_rest,0.0,0.6567601838643208,2,0.34323981613567917,0.4748095530005074
is_consecutive_race,0.0,0.9394515771120622,2,0.06054842288793787,0.2385095800175213
weight_change_from_last,0.0,0.6227611348866698,25,-0.4396893326993184,3.689379950346948
weight_change_pct,0.0,0.6227611348866698,903,-0.09024459859404191,0.7769940426619174
