iter	Logloss
0	0.6585247129
1	0.6257078012
2	0.5966744876
3	0.5709141979
4	0.5465518822
5	0.5238967733
6	0.5022574629
7	0.4819107334
8	0.4639631085
9	0.4472830045
10	0.4324051751
11	0.4180296966
12	0.404323645
13	0.3924295545
14	0.3814028909
15	0.3700350276
16	0.3611633722
17	0.3521604145
18	0.3437841182
19	0.3364648715
20	0.329364887
21	0.3234341337
22	0.3174171526
23	0.3121235779
24	0.3075158261
25	0.3024926482
26	0.2973902793
27	0.2933375973
28	0.2891196126
29	0.2852450323
30	0.2818279724
31	0.2791432442
32	0.276204844
33	0.2732526622
34	0.2708682171
35	0.2684955857
36	0.266343981
37	0.2644166333
38	0.2624449705
39	0.2606227217
40	0.2587940614
41	0.2570341513
42	0.2554833544
43	0.2541992708
44	0.2529163487
45	0.2517656362
46	0.2505818851
47	0.2496062616
48	0.2484862499
49	0.2474208224
50	0.2463649687
51	0.2455777023
52	0.2447399195
53	0.2439947436
54	0.2431949261
55	0.2424928961
56	0.2418823044
57	0.2412490791
58	0.2407033851
59	0.2399835041
60	0.2392592226
61	0.2387456099
62	0.2382678771
63	0.237882003
64	0.2375072996
65	0.2370223756
66	0.2366232222
67	0.2361471542
68	0.2357003604
69	0.2354023493
70	0.2350650446
71	0.2346591268
72	0.2342856526
73	0.2340472595
74	0.2338030604
75	0.2335594554
76	0.2332022905
77	0.2328994907
78	0.2327157641
79	0.2324054998
80	0.2321501707
81	0.2319306321
82	0.2317046556
83	0.2315081625
84	0.231327755
85	0.2311347416
86	0.2309669654
87	0.2308472006
88	0.2306856637
89	0.2305132581
90	0.2303950827
91	0.2302819364
92	0.2301744058
93	0.2300003759
94	0.2298220142
95	0.2296752568
96	0.2295814949
97	0.2294200177
98	0.22924413
99	0.2290898192
100	0.2289438548
101	0.2287801992
102	0.2286305558
103	0.2284652056
104	0.2283671946
105	0.2282347967
106	0.2281003539
107	0.2279925311
108	0.2278519411
109	0.2277710961
110	0.2276643009
111	0.2275846239
112	0.2274692069
113	0.2274045837
114	0.2273432827
115	0.2272351565
116	0.2271517081
117	0.2270558778
118	0.2269403396
119	0.2268304558
120	0.2267446274
121	0.2266870397
122	0.2265912866
123	0.2264982631
124	0.2263920056
125	0.2263078607
126	0.2262342257
127	0.2261776392
128	0.2260822177
129	0.2260227286
130	0.2259603057
131	0.2258804016
132	0.2258155927
133	0.2257377516
134	0.2256759715
135	0.2255901646
136	0.2254713667
137	0.2254073231
138	0.225358522
139	0.2252921065
140	0.2252360817
141	0.2251247671
142	0.2250596263
143	0.2249892901
144	0.2248819023
145	0.224814445
146	0.2247568605
147	0.2246528772
148	0.2245571346
149	0.224456111
150	0.2244092182
151	0.2243703791
152	0.2242908177
153	0.2242388919
154	0.2241553609
155	0.2240808907
156	0.2240433444
157	0.2239894257
158	0.2239195365
159	0.2238676274
160	0.223778866
161	0.2237501505
162	0.2236978433
163	0.2236393042
164	0.2235901766
165	0.2235565099
166	0.2235066938
167	0.2234378663
168	0.2234018934
169	0.2233651212
170	0.2233139177
171	0.2232460663
172	0.2232009692
173	0.2231584507
174	0.22312487
175	0.2230696164
176	0.2230009113
177	0.2229495215
178	0.2229032825
179	0.2228516922
180	0.2228260996
181	0.222789456
182	0.2227507627
183	0.2226722589
184	0.2225631536
185	0.2225336925
186	0.2224782826
187	0.2224333131
188	0.2224059303
189	0.222362386
190	0.2223378009
191	0.222249993
192	0.2222192204
193	0.2221638662
194	0.2221289205
195	0.2220785763
196	0.2220513034
197	0.2219977474
198	0.2219614333
199	0.2219319752
