iter	Passed	Remaining
0	147	73645
1	306	76382
2	463	76820
3	623	77340
4	764	75668
5	918	75632
6	1085	76475
7	1253	77080
8	1410	76975
9	1576	77240
10	1745	77579
11	1905	77496
12	2073	77681
13	2240	77793
14	2411	77983
15	2585	78202
16	2754	78259
17	2917	78116
18	3074	77821
19	3218	77243
20	3378	77060
21	3536	76848
22	3681	76351
23	3840	76166
24	4000	76013
25	4162	75889
26	4319	75674
27	4474	75432
28	4627	75161
29	4772	74775
30	4933	74640
31	5076	74247
32	5238	74129
33	5394	73935
34	5536	73552
35	5689	73336
36	5844	73135
37	5991	72850
38	6178	73029
39	6332	72818
40	6493	72695
41	6638	72389
42	6789	72156
43	6944	71966
44	7095	71739
45	7273	71782
46	7414	71459
47	7574	71326
48	7713	70991
49	7878	70906
50	8053	70900
51	8225	70869
52	8401	70855
53	8592	70965
54	8768	70946
55	8932	70825
56	9099	70720
57	9294	70829
58	9440	70563
59	9582	70268
60	9750	70168
61	9935	70190
62	10077	69901
63	10250	69833
64	10395	69571
65	10592	69654
66	10747	69455
67	10911	69318
68	11065	69119
69	11204	68828
70	11375	68731
71	11523	68502
72	11726	68589
73	11916	68598
74	12053	68304
75	12194	68033
76	12373	67976
77	12528	67782
78	12709	67730
79	12857	67504
80	13033	67422
81	13232	67455
82	13378	67212
83	13526	66985
84	13667	66731
85	13837	66614
86	13997	66449
87	14158	66285
88	14313	66098
89	14462	65886
90	14648	65837
91	14826	65751
92	15005	65667
93	15173	65535
94	15324	65329
95	15511	65275
96	15655	65044
97	15793	64786
98	15934	64542
99	16115	64463
100	16311	64437
101	16466	64251
102	16639	64134
103	16775	63876
104	16914	63630
105	17065	63433
106	17199	63171
107	17369	63044
108	17551	62960
109	17693	62730
110	17845	62538
111	17997	62348
112	18135	62110
113	18333	62078
114	18473	61847
115	18618	61633
116	18791	61515
117	18935	61301
118	19101	61157
119	19288	61080
120	19443	60902
121	19598	60722
122	19748	60529
123	19911	60377
124	20055	60166
125	20242	60084
126	20481	60155
127	20672	60080
128	20841	59939
129	21052	59918
130	21224	59785
131	21386	59622
132	21576	59539
133	21762	59441
134	21968	59397
135	22132	59236
136	22284	59045
137	22439	58863
138	22616	58737
139	22767	58544
140	22987	58527
141	23149	58363
142	23304	58179
143	23463	58008
144	23647	57894
145	23827	57774
146	24010	57658
147	24225	57617
148	24468	57641
149	24676	57579
150	24871	57484
151	25037	57321
152	25232	57226
153	25414	57099
154	25601	56983
155	25793	56877
156	25991	56784
157	26205	56723
158	26378	56573
159	26568	56457
160	26786	56400
161	26939	56207
162	27160	56153
163	27341	56015
164	27556	55948
165	27829	55994
166	28035	55902
167	28289	55905
168	28441	55705
169	28641	55598
170	28851	55510
171	29006	55315
172	29159	55117
173	29375	55037
174	29543	54866
175	29729	54729
176	29911	54584
177	30086	54425
178	30317	54368
179	30543	54300
180	30797	54278
181	30996	54157
182	31261	54151
183	31465	54038
184	31611	53824
185	31819	53716
186	32023	53600
187	32193	53427
188	32384	53289
189	32540	53091
190	32714	52925
191	32887	52756
192	33030	52540
193	33172	52323
194	33342	52151
195	33528	52003
196	33674	51793
197	33813	51574
198	33995	51419
199	34152	51228
200	34338	51081
201	34534	50946
202	34692	50756
203	34839	50552
204	34981	50339
205	35147	50161
206	35284	49943
207	35464	49786
208	35637	49619
209	35782	49413
210	35942	49229
211	36122	49072
212	36271	48872
213	36434	48693
214	36607	48526
215	36739	48305
216	36897	48119
217	37085	47972
218	37226	47765
219	37416	47620
220	37593	47460
221	37755	47279
222	37920	47103
223	38133	46985
224	38286	46794
225	38465	46635
226	38629	46457
227	38837	46332
228	39026	46184
229	39191	46007
230	39334	45804
231	39521	45654
232	39671	45460
233	39816	45261
234	39997	45103
235	40166	44932
236	40315	44737
237	40481	44563
238	40626	44366
239	40755	44151
240	40897	43952
241	41079	43795
242	41246	43622
243	41425	43463
244	41593	43290
245	41753	43111
246	41885	42903
247	42052	42730
248	42182	42521
249	42346	42346
250	42494	42155
251	42654	41977
252	42806	41791
253	42986	41632
254	43157	41465
255	43342	41310
256	43496	41126
257	43663	40955
258	43841	40794
259	43988	40604
260	44135	40414
261	44272	40217
262	44415	40024
263	44555	39829
264	44706	39645
265	44855	39459
266	45027	39293
267	45209	39136
268	45386	38974
269	45527	38782
270	45682	38602
271	45858	38440
272	46041	38283
273	46208	38113
274	46348	37921
275	46495	37735
276	46668	37570
277	46880	37436
278	47053	37271
279	47200	37086
280	47363	36913
281	47513	36730
282	47670	36553
283	47818	36368
284	48014	36221
285	48188	36056
286	48342	35877
287	48492	35695
288	48643	35514
289	48815	35348
290	48998	35191
291	49175	35029
292	49338	34857
293	49490	34677
294	49676	34520
295	49809	34327
296	49987	34166
297	50155	33998
298	50380	33868
299	50557	33705
300	50733	33541
301	50931	33391
302	51082	33212
303	51228	33028
304	51369	32842
305	51513	32658
306	51692	32497
307	51855	32325
308	52025	32158
309	52205	31996
310	52366	31823
311	52526	31650
312	52658	31460
313	52793	31272
314	52957	31101
315	53144	30944
316	53305	30772
317	53452	30592
318	53649	30440
319	53806	30265
320	54018	30122
321	54214	29969
