feature_name,dtype,null_rate,unique_count,zero_rate,mean,std,min,max,median
age,int64,0.0,11,0.0,3.6081547446027007,1.3181007176948127,2.0,12.0,3.0
age_zscore,float64,0.0,11665,0.4979045001717623,-0.03053660455743904,0.6953501258069438,-3.1908151446936057,3.72080491998167,0.0
basis_weight,float64,0.0,26,0.0,55.687926432893796,1.8410788757472873,49.0,65.0,56.0
basis_weight_zscore,float64,0.0,22320,0.042242951140237295,-0.013270843679033958,0.9877892076520167,-6.124751808052835,4.324197342406735,0.29187381216258523
bracket_avg_finish,Float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
bracket_is_inner,int32,0.0,2,0.6724308326506884,0.32756916734931163,0.46932800051815193,0.0,1.0,0.0
bracket_is_middle,int32,0.0,2,0.6161509394075523,0.3838490605924477,0.4863231530881552,0.0,1.0,0.0
bracket_is_outer,int32,0.0,2,0.7114182279417594,0.28858177205824065,0.45310420205637747,0.0,1.0,0.0
day_of_meeting,Int64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
days_since_last_race,float64,0.0,515,0.0,55.94758343683112,60.57895424697665,5.0,1421.0,42.0
distance_m,Int64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
final_corner_to_finish,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
horse_number,int64,0.0,18,0.0,7.652067753613614,4.387436858631908,1.0,18.0,7.0
horse_weight,float64,0.0,131,0.0,471.12674999339373,31.122046376589566,336.0,630.0,472.0
horse_weight_change,float64,0.0,74,0.24458948814840262,0.38520201886742594,6.314663760972444,-46.0,44.0,0.0
horse_weight_deviation,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
horse_weight_zscore,float64,0.0,82521,0.0013476732817165658,0.0031649094988923506,1.0036992609343889,-3.9981894670961533,4.1633689506775475,-0.010573677734875882
is_jockey_id_changed,int32,0.0,2,0.4301033216182649,0.5698966783817351,0.4950916579647513,0.0,1.0,1.0
is_trainer_id_changed,int32,0.0,2,0.9847739344132336,0.015226065586766377,0.12245126278789642,0.0,1.0,0.0
jockey_extreme_long_win_rate,float64,0.0,43,0.9075231879079354,0.04403825159025419,0.1777631140585457,0.0,1.0,0.0
jockey_intermediate_win_rate,float64,0.0,239,0.05837803556800465,0.06808232498020876,0.053412380825466226,0.0,1.0,0.057692307692307696
jockey_long_win_rate,float64,0.0,192,0.16329043680469307,0.06776214913750722,0.059549431902496314,0.0,1.0,0.05982905982905983
jockey_mile_win_rate,float64,0.0,276,0.030462701160056022,0.07015048554807587,0.05168883387804427,0.0,1.0,0.058823529411764705
jockey_sprint_win_rate,float64,0.0,277,0.023153555479216763,0.07141670042007979,0.04584217480356338,0.0,1.0,0.05807622504537205
jockey_win_rate,float64,0.0,331,0.0032502708559046588,0.07227482333413368,0.04720337305066258,0.0,0.5,0.05865174008274519
jockey_ダート_win_rate,float64,0.0,289,0.024871178289247682,0.0726150779163928,0.05008755462408316,0.0,1.0,0.05862884160756501
jockey_中京_win_rate,float64,0.0,217,0.10424120709246096,0.0673755781452345,0.05247014735799469,0.0,0.5,0.058823529411764705
jockey_中山_win_rate,float64,0.0,214,0.18305102660994108,0.06348935382249843,0.06013463654777819,0.0,0.5,0.05
jockey_京都_win_rate,float64,0.0,163,0.22176360225140712,0.05940203315886792,0.05825974750473226,0.0,0.48,0.05217391304347826
jockey_函館_win_rate,float64,0.0,111,0.14953359934466084,0.07372250360229006,0.06288821154520856,0.0,0.5714285714285714,0.06666666666666667
jockey_小倉_win_rate,float64,0.0,195,0.10129218085246941,0.0747505697386795,0.06174887196109701,0.0,0.45454545454545453,0.062146892655367235
jockey_新潟_win_rate,float64,0.0,235,0.04692017017678302,0.07751171772664932,0.05324558456209907,0.0,0.30701754385964913,0.06521739130434782
jockey_札幌_win_rate,float64,0.0,120,0.22656766112623206,0.05904606651295953,0.05913243494574106,0.0,0.5,0.05263157894736842
jockey_東京_win_rate,float64,0.0,200,0.14620933858309332,0.0580031405979345,0.05451816103573018,0.0,0.4,0.04390243902439024
jockey_福島_win_rate,float64,0.0,209,0.07434400021139972,0.08410289598314388,0.056898482283927576,0.0,0.3333333333333333,0.07920792079207921
jockey_芝_win_rate,float64,0.0,311,0.012060354623047855,0.06911732287927629,0.04870133125078906,0.0,1.0,0.057763061074319354
jockey_阪神_win_rate,float64,0.0,192,0.21144201041143673,0.0589298871819724,0.05346272034535147,0.0,0.30197396052078956,0.047933884297520664
last3f_rank,Int64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
nige_ratio,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
pace_index,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
passing_order_1,Int64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
passing_order_2,Int64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
passing_order_3,Int64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
passing_order_4,Int64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_finish_position_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_finish_position_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_finish_position_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_finish_position_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_last_3f_time_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_last_3f_time_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_last_3f_time_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_last_3f_time_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_margin_seconds_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_margin_seconds_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_margin_seconds_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_margin_seconds_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_passing_order_1_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_passing_order_1_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_10_passing_order_1_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
