Feature,Null_Rate,Zero_Rate,Null+Zero
past_1_last_3f_time_std,0.0,1.0,1.0
past_1_finish_position_std,0.0,1.0,1.0
past_1_passing_order_1_std,0.0,1.0,1.0
past_1_passing_order_4_std,0.0,1.0,1.0
is_trainer_id_changed,0.0,0.986538205291444,0.986538205291444
sex_セ,0.0,0.9493063677953304,0.9493063677953304
jockey_marathon_win_rate,0.013791214485586959,0.8109648668255778,0.8247560813111647
bracket_is_outer,0.0,0.7121093229498245,0.7121093229498245
bracket_is_inner,0.0,0.6722310232000356,0.6722310232000356
jockey_unknown_win_rate,0.013791214485586959,0.627041292213849,0.6408325066994359
bracket_is_middle,0.0,0.6156596538501399,0.6156596538501399
sex_牝,0.0,0.5845424396310499,0.5845424396310499
track_芝,0.0,0.522211776201827,0.522211776201827
age_zscore,0.0,0.5074915239180966,0.5074915239180966
track_ダート,0.0,0.501232548154509,0.501232548154509
sex_牡,0.0,0.46615119257361975,0.46615119257361975
is_jockey_id_changed,0.0,0.4559984010186104,0.4559984010186104
trainer_京都_win_rate,0.013791214485586959,0.37318448988052055,0.3869757043661075
trainer_阪神_win_rate,0.03043246524436285,0.29315399079105164,0.32358645603541447
trainer_札幌_win_rate,0.10563640939845728,0.19154834697896156,0.2971847563774188
jockey_札幌_win_rate,0.10563640939845728,0.1821358245858194,0.28777223398427665
trainer_函館_win_rate,0.09241890351331744,0.19313252298535746,0.28555142649867493
jockey_阪神_win_rate,0.03043246524436285,0.22597456435159824,0.25640702959596107
horse_weight_change,0.0,0.24241594243666997,0.24241594243666997
trainer_中京_win_rate,0.03043246524436285,0.20488799727580947,0.23532046252017233
jockey_京都_win_rate,0.013791214485586959,0.2180314762447626,0.23182269073034956
trainer_東京_win_rate,0.03043246524436285,0.1945834505426173,0.22501591578698016
trainer_福島_win_rate,0.06089454125520039,0.16257791332928653,0.22347245458448692
jockey_東京_win_rate,0.03043246524436285,0.1914002931465881,0.22183275839095096
jockey_函館_win_rate,0.09241890351331744,0.1289437839598478,0.22136268747316523
trainer_小倉_win_rate,0.013791214485586959,0.20092385591401032,0.21471507039959728
jockey_long_win_rate,0.013791214485586959,0.19843655153013637,0.21222776601572332
trainer_中山_win_rate,0.013791214485586959,0.18456020609093465,0.1983514205765216
jockey_中山_win_rate,0.013791214485586959,0.17685400411589655,0.1906452186014835
jockey_中京_win_rate,0.03043246524436285,0.1566261492678738,0.18705861451223665
jockey_福島_win_rate,0.06089454125520039,0.11444561242467761,0.175340153679878
trainer_新潟_win_rate,0.07853145403668774,0.09058673733769598,0.16911819137438372
jockey_新潟_win_rate,0.07853145403668774,0.08373924759042388,0.1622707016271116
jockey_小倉_win_rate,0.013791214485586959,0.10068771005137468,0.11447892453696164
jockey_mile_win_rate,0.013791214485586959,0.06492900818737693,0.07872022267296389
jockey_sprint_win_rate,0.013791214485586959,0.056212338806390004,0.07000355329197697
jockey_intermediate_win_rate,0.013791214485586959,0.05308470159750085,0.06687591608308781
jockey_芝_win_rate,0.013791214485586959,0.043538930755222596,0.05733014524080955
jockey_ダート_win_rate,0.013791214485586959,0.0375908680396192,0.051382082525206166
