feature,importance
prev_finish,87403.28461266682
jockey_win_rate,34538.56807826273
horse_avg_finish,25521.957335659536
horse_weight,10151.155063834041
trainer_win_rate,7934.014345899224
age,7900.952169626951
prev_3f_avg,6933.7402766644955
days_since_last,4984.483446719125
field_size,4353.9030150175095
horse_win_rate,3505.8014903618023
race_number,2424.901131555438
venue_encoded,2265.592478364706
distance_m,1670.4716614037752
round_of_year,1368.425873696804
weight_change,1111.6168202273548
bracket_number,1090.1763519272208
basis_weight,879.8576918244362
day_of_meeting,795.406594991684
horse_number,679.7435517907143
track_cond_x_prev_finish,662.0562819242477
is_late_race,241.58567142486572
is_outer_bracket,92.9806900024414
track_condition_encoded,42.509302258491516
distance_match,0.0
