feature,importance
past_1_finish_position_max,32134.266659855843
jockey_win_rate,19712.728414058685
past_5_finish_position_mean,18908.984360456467
past_1_finish_position_mean,18682.515135645866
past_3_finish_position_mean,13601.073428630829
jockey_ダート_win_rate,11224.945236325264
past_1_finish_position_median,10369.676239967346
age_zscore,10288.013241052628
jockey_芝_win_rate,10164.517431020737
horse_weight_zscore,9139.30497610569
past_10_finish_position_mean,8985.812569141388
past_3_finish_position_median,8963.556874752045
trainer_win_rate,8485.478321552277
basis_weight_zscore,6762.223697543144
days_since_last_race,6003.076786279678
past_10_finish_position_median,5133.564614057541
jockey_intermediate_win_rate,4983.128524661064
jockey_mile_win_rate,4787.133847236633
past_5_finish_position_median,4741.715022087097
trainer_新潟_win_rate,4717.695227742195
horse_weight,4655.4171850681305
jockey_新潟_win_rate,4341.4631452560425
jockey_sprint_win_rate,4296.11928319931
past_3_last_3f_time_std,4222.813978433609
past_5_last_3f_time_std,4015.5894527435303
past_3_finish_position_std,3962.846738934517
past_10_finish_position_std,3955.404988527298
trainer_中山_win_rate,3935.766564011574
jockey_小倉_win_rate,3848.586727142334
jockey_福島_win_rate,3840.801676273346
jockey_東京_win_rate,3795.8832976818085
jockey_long_win_rate,3766.4086022377014
trainer_東京_win_rate,3741.559518098831
past_10_last_3f_time_max,3637.49863922596
past_1_last_3f_time_max,3577.913524389267
past_5_finish_position_std,3524.4229360818863
jockey_中京_win_rate,3477.8432352542877
trainer_札幌_win_rate,3461.570324420929
horse_number,3450.264289855957
age,3440.430523753166
past_10_last_3f_time_std,3417.354300260544
past_10_passing_order_1_mean,3391.6441786289215
trainer_中京_win_rate,3346.078565597534
trainer_函館_win_rate,3320.1788578033447
jockey_阪神_win_rate,3293.5218493938446
jockey_函館_win_rate,3262.7993557453156
jockey_札幌_win_rate,3247.5065014362335
trainer_阪神_win_rate,3184.717260360718
trainer_小倉_win_rate,3154.307996034622
past_10_passing_order_1_std,3049.3486560583115
trainer_福島_win_rate,3020.701457977295
distance_m,2928.70236992836
horse_weight_change,2920.6560245752335
trainer_京都_win_rate,2874.454667568207
past_3_last_3f_time_mean,2825.3626589775085
past_5_passing_order_1_std,2824.4975888729095
past_10_last_3f_time_mean,2721.180025577545
past_5_last_3f_time_mean,2609.721167087555
jockey_中山_win_rate,2586.1473121643066
past_1_passing_order_1_max,2541.509263277054
past_3_last_3f_time_median,2505.591367483139
past_3_passing_order_1_std,2457.2105758190155
past_10_last_3f_time_median,2440.5662059783936
past_5_passing_order_1_mean,2401.497533559799
past_3_passing_order_1_mean,2378.206417798996
jockey_京都_win_rate,2344.197158098221
past_5_last_3f_time_max,2270.4275900125504
past_10_passing_order_4_std,2176.450615644455
past_5_last_3f_time_median,2148.068027973175
past_1_last_3f_time_mean,2145.2729247808456
past_3_last_3f_time_max,2085.5752840042114
past_10_passing_order_1_median,1839.142822265625
past_10_passing_order_4_mean,1796.22478890419
past_5_passing_order_4_std,1768.136058807373
past_10_finish_position_max,1700.8791019916534
basis_weight,1690.721941947937
past_5_passing_order_1_median,1669.8290601968765
past_3_finish_position_max,1484.426774263382
past_3_passing_order_1_median,1439.757080078125
past_3_passing_order_4_std,1413.5135173797607
track_芝,1413.1621489524841
past_5_passing_order_4_mean,1263.3651719093323
past_5_passing_order_1_max,1237.266150712967
past_10_passing_order_1_max,1219.8415863513947
past_1_passing_order_1_mean,1171.93874001503
past_3_passing_order_1_max,1125.7150554656982
past_3_passing_order_4_mean,1101.9695981740952
past_10_passing_order_4_max,1085.8574748039246
past_1_last_3f_time_median,1012.1528606414795
jockey_unknown_win_rate,1011.8403196334839
past_5_finish_position_max,991.4910492897034
past_10_passing_order_4_median,908.9415483474731
past_1_passing_order_4_max,867.5862407684326
past_5_passing_order_4_max,859.6771984100342
past_5_passing_order_4_median,724.7044976949692
is_jockey_id_changed,698.5310614109039
past_3_passing_order_4_max,687.0828293561935
past_3_passing_order_4_median,684.0512626171112
track_ダート,620.6094009876251
past_1_passing_order_1_median,534.1635990142822
bracket_is_inner,523.9478093385696
jockey_marathon_win_rate,498.8334114551544
past_1_passing_order_4_mean,434.36212038993835
bracket_is_outer,271.4171282052994
past_1_passing_order_4_median,253.29173159599304
bracket_is_middle,210.7689106464386
sex_牝,84.04110991954803
sex_牡,68.33209991455078
sex_セ,18.586259841918945
past_1_finish_position_std,0.0
is_trainer_id_changed,0.0
past_1_last_3f_time_std,0.0
past_1_passing_order_4_std,0.0
past_1_passing_order_1_std,0.0
