feature,importance
past_1_finish_position_max,14788.685775756836
past_5_finish_position_mean,10916.386170387268
jockey_win_rate,10693.086839675903
past_3_finish_position_mean,9434.709131240845
past_10_finish_position_mean,8954.578821182251
age_zscore,8623.877168655396
trainer_win_rate,8432.117176055908
horse_weight_diff_from_avg,7492.892874717712
n_leaders,7355.443102836609
jockey_芝_win_rate,6811.223165512085
sire_ダート_avg_finish,6502.707284927368
trainer_新潟_win_rate,6487.473046302795
bracket_avg_finish,6304.8140506744385
trainer_札幌_win_rate,6303.77937412262
sire_芝_avg_finish,6110.157753944397
pace_fit_score,6090.243324279785
sire_sprint_avg_finish,5751.76114654541
trainer_福島_win_rate,5669.175430297852
trainer_東京_win_rate,5581.639008522034
past_3_last_3f_time_std,5541.930403709412
sire_mile_avg_finish,5531.582507133484
jockey_intermediate_win_rate,5463.914617538452
trainer_阪神_win_rate,5383.463901519775
weight_diff_from_avg,5359.272315979004
sire_marathon_avg_finish,5227.905456542969
jockey_福島_win_rate,5176.715266227722
days_since_last_race,5165.703532218933
horse_weight_zscore,5111.970299720764
sire_intermediate_avg_finish,5110.5694036483765
basis_weight_zscore,5074.159924507141
surface_avg_finish,4996.485783576965
trainer_小倉_win_rate,4904.489151000977
trainer_函館_win_rate,4810.244038105011
trainer_中山_win_rate,4803.576629638672
surface_races,4800.721096038818
jockey_東京_win_rate,4767.5588274002075
sire_long_avg_finish,4759.369739532471
sire_unknown_avg_finish,4755.201832771301
jockey_中京_win_rate,4748.591835021973
jockey_mile_win_rate,4679.927792549133
horse_weight,4595.026092529297
jockey_中山_win_rate,4531.240019798279
venue_avg_finish,4404.101559638977
jockey_小倉_win_rate,4402.345333099365
jockey_阪神_win_rate,4371.050254821777
trainer_中京_win_rate,4309.406953334808
jockey_新潟_win_rate,4295.06042098999
jockey_sprint_win_rate,4133.989582061768
jockey_long_win_rate,4114.672027587891
past_5_finish_position_median,4081.0542306900024
past_10_passing_order_1_std,3993.34361076355
past_1_last_3f_time_max,3975.5760684013367
dist_avg_finish,3829.605146884918
dist_avg_time,3731.48148727417
past_3_finish_position_std,3693.256392478943
past_5_finish_position_std,3678.68358707428
past_10_finish_position_std,3651.9999170303345
past_5_last_3f_time_std,3577.297031402588
jockey_ダート_win_rate,3576.1163988113403
jockey_札幌_win_rate,3564.6756067276
surface_avg_last3f,3554.436703681946
dist_races,3435.6280250549316
past_10_finish_position_median,3391.0657453536987
past_10_last_3f_time_std,3388.557412147522
trainer_京都_win_rate,3362.4118242263794
horse_number,3358.8804111480713
jockey_函館_win_rate,3343.9765186309814
past_5_passing_order_1_std,3305.476170539856
past_10_last_3f_time_max,3111.574779033661
past_3_passing_order_1_std,3078.7240991592407
leader_ratio,2897.1132202148438
bias_seasonal_score,2733.699981689453
jockey_京都_win_rate,2698.3504581451416
past_10_passing_order_1_mean,2626.2680921554565
past_1_passing_order_1_max,2546.1404876708984
past_10_passing_order_4_std,2536.688877105713
past_3_last_3f_time_max,2524.1914224624634
past_5_passing_order_1_mean,2474.486831665039
past_3_passing_order_1_mean,2185.5526275634766
past_3_last_3f_time_median,2170.712127685547
past_10_last_3f_time_mean,2155.810592651367
past_5_last_3f_time_mean,2147.100672721863
past_10_last_3f_time_median,2066.080750465393
past_3_last_3f_time_mean,2030.9823951721191
venue_races,2002.4812951087952
past_5_last_3f_time_max,1986.1942782402039
past_5_last_3f_time_median,1959.9137296676636
horse_weight_change,1910.5174016952515
past_3_passing_order_4_std,1907.7986946105957
race_month,1838.602900505066
distance_m,1811.661813735962
past_3_finish_position_median,1775.379280090332
age,1769.4693050384521
past_5_passing_order_4_std,1723.1182947158813
past_10_passing_order_1_median,1640.2195081710815
avg_finish_last10,1633.6995286941528
past_1_finish_position_mean,1629.2980947494507
past_3_passing_order_1_max,1601.898320198059
past_5_passing_order_1_median,1601.492600440979
past_10_finish_position_max,1588.6204977035522
basis_weight,1580.470136165619
day_of_meeting,1571.622947692871
past_5_passing_order_4_mean,1567.903193473816
past_3_passing_order_1_median,1523.4826622009277
distance_change,1488.3311004638672
past_10_passing_order_4_mean,1431.7016115188599
prev_distance_m,1314.0409297943115
win_rate_last10,1268.681064605713
jockey_unknown_win_rate,1195.8497924804688
past_10_passing_order_1_max,1153.8748979568481
past_3_passing_order_4_mean,1047.1115942001343
past_3_finish_position_max,1045.3340101242065
past_1_passing_order_4_max,1019.8285045623779
round_of_year,937.2830972671509
past_10_passing_order_4_median,913.5947971343994
past_3_passing_order_4_max,868.159197807312
past_10_passing_order_4_max,800.2119951248169
past_5_finish_position_max,778.4132986068726
past_5_passing_order_4_max,766.5648994445801
track_芝,759.0623302459717
past_5_passing_order_1_max,752.2118015289307
is_jockey_id_changed,640.0003986358643
past_5_passing_order_4_median,637.2214298248291
jockey_marathon_win_rate,604.9762983322144
past_1_passing_order_1_mean,527.7466974258423
is_distance_shortened,498.65210247039795
past_1_last_3f_time_mean,471.82666063308716
avg_finish_last3,464.17309761047363
past_3_passing_order_4_median,429.6889615058899
track_ダート,351.51459980010986
finish_std_last10,284.9672975540161
bracket_is_inner,275.7391986846924
past_1_last_3f_time_median,238.50170135498047
bracket_is_middle,220.78610229492188
finish_cv_last10,217.9277114868164
year,209.60179805755615
place_rate_last10,195.13759803771973
past_1_passing_order_4_mean,193.20490264892578
past_1_finish_position_median,180.0103988647461
past_1_passing_order_1_median,153.67970275878906
is_distance_lengthened,134.5300998687744
sex_牡,132.95879936218262
bracket_is_outer,115.23780250549316
surface_change,96.21680068969727
past_1_passing_order_4_median,84.23909950256348
avg_finish_last5,61.49420166015625
venue_change,59.21449947357178
place_rate_last3,37.5989990234375
sex_牝,19.496599197387695
is_trainer_id_changed,15.478099822998047
sex_セ,14.827899932861328
bias_dynamic_score,0.0
combo_avg_finish,0.0
combo_avg_popularity,0.0
combo_overperform,0.0
past_1_passing_order_4_std,0.0
combo_races,0.0
combo_win_rate,0.0
corner_loss_avg_5,0.0
nishida_trend_score,0.0
past_1_passing_order_1_std,0.0
finish_cv_last3,0.0
finish_cv_last5,0.0
finish_std_last3,0.0
finish_std_last5,0.0
