feature,importance
past_1_finish_position_max,58
age_zscore,57
horse_weight_zscore,42
time_deviation_score_avg_5,39
jockey_intermediate_win_rate,36
past_10_finish_position_mean,31
jockey_芝_win_rate,30
combo_overperform,30
combo_avg_finish,27
jockey_ダート_win_rate,27
jockey_mile_win_rate,25
sire_course_avg_finish,22
sire_course_win_rate,22
surface_avg_finish,21
days_since_last_race,21
l3f_deviation_score_avg_5,19
past_10_passing_order_1_mean,18
jockey_long_win_rate,18
past_3_margin_seconds_median,17
basis_weight_zscore,17
trainer_小倉_win_rate,17
race_class_overbet_risk,16
trainer_中山_win_rate,16
place_rate_last10,15
trainer_新潟_win_rate,15
finish_cv_last3,14
past_5_finish_position_mean,14
past_10_last_3f_time_mean,13
dist_avg_time,13
pace_fit_score,12
jockey_阪神_win_rate,12
past_10_passing_order_1_median,12
jockey_sprint_win_rate,12
past_1_last_3f_time_max,12
bms_avg_finish,11
dist_avg_finish,11
win_rate_last5,11
past_5_passing_order_1_mean,11
past_3_last_3f_time_std,11
past_3_finish_position_median,10
jockey_東京_win_rate,10
trainer_京都_win_rate,10
past_3_last_3f_time_mean,10
past_3_finish_position_mean,10
past_1_passing_order_1_max,9
past_3_margin_seconds_mean,9
past_10_last_3f_time_std,9
past_3_finish_position_std,9
course_final_straight_m,9
venue_avg_finish,9
trainer_阪神_win_rate,9
combo_win_rate,9
horse_number,9
past_5_finish_position_median,9
past_5_last_3f_time_std,9
sire_course_place_rate,9
surface_avg_last3f,8
age,8
trainer_福島_win_rate,8
sire_wet_boost,7
past_10_finish_position_median,7
finish_cv_last10,7
surface_races,7
past_10_margin_seconds_mean,7
finish_cv_last5,7
past_10_last_3f_time_median,7
jockey_小倉_win_rate,6
bracket_avg_finish,6
jockey_中山_win_rate,6
nicks_avg_finish,6
jockey_京都_win_rate,6
past_10_margin_seconds_std,6
past_10_passing_order_1_std,6
trainer_函館_win_rate,5
past_3_finish_position_max,5
trainer_中京_win_rate,5
past_5_passing_order_1_std,5
jockey_福島_win_rate,5
fast_track_score_avg,5
horse_weight_change,5
past_5_passing_order_4_mean,5
combo_races,5
leader_ratio,5
n_leaders,5
past_1_margin_seconds_max,5
jockey_新潟_win_rate,5
trainer_東京_win_rate,5
past_3_last_3f_time_median,5
past_5_margin_seconds_mean,5
distance_m,4
past_5_passing_order_4_std,4
prev_distance_m,4
past_5_passing_order_1_median,4
past_10_margin_seconds_median,4
avg_finish_last5,4
finish_std_last10,4
past_3_last_3f_time_max,4
past_3_margin_seconds_max,4
bms_win_rate,4
heavy_track_score_avg,4
trainer_札幌_win_rate,4
past_3_passing_order_1_std,4
past_10_last_3f_time_max,4
past_3_passing_order_1_mean,4
past_3_passing_order_1_max,4
past_3_margin_seconds_std,4
past_10_passing_order_4_mean,4
past_5_last_3f_time_mean,3
bias_seasonal_score,3
past_1_last_3f_time_mean,3
past_5_margin_seconds_std,3
past_5_margin_seconds_median,3
past_5_last_3f_time_median,3
past_5_last_3f_time_max,3
finish_std_last5,3
past_5_finish_position_max,3
past_3_passing_order_4_std,3
past_10_finish_position_std,3
jockey_札幌_win_rate,2
course_slope_percent,2
jockey_中京_win_rate,2
past_3_passing_order_1_median,2
past_10_margin_seconds_max,2
past_3_passing_order_4_median,2
past_10_passing_order_4_max,2
finish_std_last3,2
past_10_passing_order_4_std,2
distance_change,2
past_5_finish_position_std,2
past_5_passing_order_4_median,2
race_month,2
nicks_win_rate,2
jockey_函館_win_rate,1
jockey_marathon_win_rate,1
day_of_meeting,1
dist_races,1
avg_finish_last3,1
avg_finish_last10,1
is_long_straight,1
jockey_unknown_win_rate,1
past_10_passing_order_1_max,1
past_10_passing_order_4_median,1
past_1_passing_order_4_max,1
past_3_passing_order_4_max,1
past_3_passing_order_4_mean,1
round_of_year,1
sex_牡,1
past_10_finish_position_max,0
past_5_margin_seconds_max,0
bracket_is_outer,0
bracket_is_middle,0
bracket_is_inner,0
course_corner_count,0
venue_races,0
is_steep_slope,0
is_outer_course,0
