feature,importance
turn_match,148
horse_left_turn_perf,58
horse_right_turn_perf,56
past_1_finish_position_max,33
age_zscore,33
horse_weight_zscore,32
prev_1_odds,31
jockey_mile_win_rate,25
combo_avg_finish,24
venue_avg_finish,23
days_since_last_race,22
jockey_ダート_win_rate,22
turn_preference,21
age,20
prev_4_odds,20
jockey_芝_win_rate,20
prev_1_finish,19
past_3_last_3f_time_std,19
past_5_last_3f_time_std,19
l3f_deviation_score_avg_5,18
race_class_overbet_risk,17
trainer_小倉_win_rate,17
trainer_新潟_win_rate,16
basis_weight_zscore,16
past_1_last_3f_time_max,16
finish_cv_last3,15
sire_course_avg_finish,15
prev_2_odds,15
past_5_passing_order_1_mean,14
jockey_阪神_win_rate,14
trainer_京都_win_rate,14
course_final_straight_m,13
pace_fit_score,13
sire_course_win_rate,13
surface_avg_finish,13
jockey_intermediate_win_rate,13
prev_3_finish,13
past_10_passing_order_1_mean,13
combo_overperform,12
jockey_long_win_rate,12
jockey_sprint_win_rate,12
time_deviation_score_avg_5,12
sire_wet_boost,12
jockey_函館_win_rate,12
jockey_新潟_win_rate,12
surface_races,12
past_3_last_3f_time_median,11
dist_avg_time,11
bms_avg_finish,11
jockey_京都_win_rate,11
nicks_avg_finish,11
past_1_passing_order_1_max,11
past_10_margin_seconds_std,11
combo_races,11
sire_course_place_rate,11
past_5_margin_seconds_std,11
past_3_passing_order_1_mean,11
combo_win_rate,11
past_3_finish_position_std,10
finish_cv_last10,10
past_3_finish_position_median,10
past_3_finish_position_mean,10
jockey_中京_win_rate,10
past_5_last_3f_time_median,10
bms_win_rate,10
past_10_margin_seconds_mean,10
trainer_東京_win_rate,9
past_10_finish_position_mean,9
bracket_avg_finish,9
jockey_福島_win_rate,9
day_sin,9
trainer_札幌_win_rate,9
past_5_passing_order_4_std,9
past_3_margin_seconds_std,9
past_10_last_3f_time_max,9
nicks_win_rate,9
avg_finish_last10,9
leader_ratio,9
jockey_小倉_win_rate,8
trainer_中山_win_rate,8
past_5_finish_position_std,8
prev_5_odds,8
bias_seasonal_score,8
past_10_passing_order_1_std,8
past_3_last_3f_time_mean,8
past_5_margin_seconds_median,7
past_10_passing_order_4_median,7
jockey_中山_win_rate,7
past_10_last_3f_time_median,7
jockey_東京_win_rate,7
horse_number,7
week_cos,7
past_5_passing_order_1_std,7
dist_avg_finish,7
day_of_meeting,7
day_cos,7
prev_distance_m,6
prev_3_odds,6
avg_finish_last5,6
prev_5_finish,6
past_5_last_3f_time_mean,6
trainer_阪神_win_rate,6
distance_m,6
trainer_福島_win_rate,6
finish_std_last5,6
trainer_函館_win_rate,6
heavy_track_score_avg,6
finish_std_last10,5
trainer_中京_win_rate,5
past_10_last_3f_time_mean,5
prev_4_finish,5
jockey_札幌_win_rate,5
finish_cv_last5,5
course_slope_percent,5
past_1_last_3f_time_mean,5
past_1_margin_seconds_max,5
past_10_passing_order_1_median,5
fast_track_score_avg,5
past_3_passing_order_4_std,5
past_5_last_3f_time_max,5
past_3_passing_order_1_std,5
past_5_margin_seconds_mean,5
win_rate_last5,5
past_3_margin_seconds_mean,5
past_3_last_3f_time_max,4
avg_finish_last3,4
past_5_finish_position_mean,4
past_5_finish_position_median,4
prev_2_finish,4
place_rate_last10,4
race_month,4
horse_weight_change,4
past_10_finish_position_std,4
finish_std_last3,4
past_10_passing_order_4_max,4
past_1_passing_order_4_max,4
past_10_passing_order_4_std,4
past_10_passing_order_4_mean,4
venue_races,4
past_5_passing_order_4_mean,3
past_3_passing_order_1_max,3
week_sin,3
month_cos,3
past_5_passing_order_1_median,3
surface_avg_last3f,3
past_10_passing_order_1_max,3
past_10_margin_seconds_max,3
past_10_last_3f_time_std,3
past_5_finish_position_max,3
past_10_finish_position_max,3
past_3_passing_order_4_median,2
dist_races,2
past_10_margin_seconds_median,2
past_3_margin_seconds_median,2
n_leaders,2
distance_change,2
past_3_passing_order_4_max,1
bracket_is_outer,1
jockey_unknown_win_rate,1
past_3_finish_position_max,1
past_3_passing_order_1_median,1
past_5_margin_seconds_max,1
past_10_finish_position_median,1
past_5_passing_order_4_median,1
round_of_year,1
past_3_margin_seconds_max,1
past_3_passing_order_4_mean,1
is_left_turn,0
course_corner_count,0
bracket_is_middle,0
bracket_is_inner,0
month_sin,0
sex_牡,0
jockey_marathon_win_rate,0
