feature,importance
age_zscore,94
time_deviation_score_avg_5,92
past_1_finish_position_max,92
horse_weight_zscore,87
jockey_intermediate_win_rate,53
combo_avg_finish,53
jockey_ダート_win_rate,50
combo_overperform,50
jockey_芝_win_rate,50
sire_course_avg_finish,49
sire_course_win_rate,45
jockey_mile_win_rate,42
bracket_avg_finish,39
trainer_新潟_win_rate,39
days_since_last_race,38
surface_avg_finish,37
l3f_deviation_score_avg_5,36
trainer_中山_win_rate,33
pace_fit_score,33
past_10_passing_order_1_mean,33
past_10_finish_position_median,32
dist_avg_time,31
jockey_long_win_rate,31
basis_weight_zscore,31
bms_avg_finish,31
venue_avg_finish,30
past_5_last_3f_time_std,29
jockey_阪神_win_rate,29
nicks_avg_finish,29
past_3_last_3f_time_std,29
past_10_finish_position_mean,28
sire_course_place_rate,28
past_3_margin_seconds_median,28
place_rate_last10,28
jockey_東京_win_rate,27
past_5_finish_position_mean,27
trainer_京都_win_rate,26
finish_cv_last3,26
past_10_last_3f_time_mean,26
past_3_finish_position_std,25
trainer_阪神_win_rate,25
race_class_overbet_risk,25
past_3_margin_seconds_mean,24
trainer_小倉_win_rate,23
past_5_passing_order_1_mean,23
surface_avg_last3f,23
past_10_margin_seconds_std,23
age,23
horse_number,23
trainer_中京_win_rate,22
past_1_last_3f_time_max,22
past_5_passing_order_1_std,21
sire_wet_boost,21
trainer_東京_win_rate,20
jockey_sprint_win_rate,20
jockey_中山_win_rate,20
past_3_margin_seconds_std,20
past_3_finish_position_median,20
finish_cv_last10,20
dist_avg_finish,20
past_10_passing_order_1_std,19
combo_win_rate,19
past_5_last_3f_time_mean,18
finish_cv_last5,18
horse_weight_change,18
bms_win_rate,18
past_10_finish_position_std,18
combo_races,18
past_3_last_3f_time_mean,18
finish_std_last3,17
win_rate_last5,17
jockey_小倉_win_rate,17
past_5_margin_seconds_std,17
past_10_margin_seconds_mean,17
past_10_passing_order_1_median,17
fast_track_score_avg,16
past_10_last_3f_time_median,16
course_final_straight_m,16
past_10_last_3f_time_std,16
past_1_margin_seconds_max,16
past_3_last_3f_time_median,15
n_leaders,15
past_3_finish_position_mean,15
past_5_finish_position_median,15
jockey_新潟_win_rate,15
past_3_passing_order_1_mean,15
past_10_passing_order_4_std,15
past_3_passing_order_1_median,14
surface_races,14
heavy_track_score_avg,14
jockey_京都_win_rate,14
past_10_last_3f_time_max,14
past_5_margin_seconds_median,13
past_3_passing_order_4_std,13
finish_std_last10,13
jockey_福島_win_rate,13
bias_seasonal_score,12
past_5_passing_order_1_median,12
past_10_finish_position_max,12
course_start_to_corner_m,12
past_10_margin_seconds_max,12
trainer_福島_win_rate,11
past_1_last_3f_time_mean,11
trainer_函館_win_rate,11
past_5_last_3f_time_median,11
past_10_passing_order_4_mean,10
past_3_passing_order_1_max,10
finish_std_last5,10
past_3_last_3f_time_max,10
past_3_margin_seconds_max,10
jockey_函館_win_rate,10
trainer_札幌_win_rate,10
jockey_札幌_win_rate,10
past_5_passing_order_4_std,10
jockey_中京_win_rate,10
avg_finish_last10,9
past_5_margin_seconds_mean,9
is_small_field,8
past_3_passing_order_1_std,8
past_10_margin_seconds_median,8
past_10_passing_order_1_max,8
past_5_passing_order_4_median,8
distance_m,8
past_1_passing_order_1_max,8
leader_ratio,7
nicks_win_rate,7
jockey_unknown_win_rate,7
past_10_passing_order_4_max,7
avg_finish_last3,7
past_3_finish_position_max,6
prev_distance_m,6
past_5_passing_order_4_mean,6
past_5_last_3f_time_max,6
past_5_finish_position_std,6
past_1_passing_order_4_max,5
course_slope_percent,5
distance_change,5
past_5_margin_seconds_max,5
round_of_year,5
past_3_passing_order_4_max,4
bracket_is_inner,4
race_month,4
day_of_meeting,4
dist_races,4
past_10_passing_order_4_median,3
past_5_finish_position_max,3
bracket_is_middle,2
is_large_field,2
avg_finish_last5,2
jockey_marathon_win_rate,2
venue_races,2
is_high_roi_course,1
sex_牡,1
is_steep_slope,1
is_too_soon,0
is_long_run_to_corner,0
weight_gain_flag,0
weight_loss_flag,0
past_3_passing_order_4_median,0
is_long_straight,0
is_optimal_field_size,0
past_3_passing_order_4_mean,0
bracket_is_outer,0
is_long_rest,0
