feature,importance
horse_long_straight_performance,25
horse_slope_performance,21
horse_avg_c4_gap,18
prev_finish_category,17
jockey_top3_rate,16
horse_last_finish,13
horse_total_races,13
heavy_track_fit,12
distance_change,10
surface_switch_flag,10
horse_front_runner_rate,10
horse_last3_avg_finish,6
style_straight_match,5
age,5
horse_c4_gap_avg,5
post_style_conflict,4
front_slope_disadvantage,4
distance_extend_flag,3
horse_win_rate,3
horse_avg_finish,2
horse_days_since_last,2
horse_avg_c4_pos,2
horse_top3_rate,2
prev_race_class,2
course_slope_percent,0
straight_ratio,0
closer_long_straight_advantage,0
is_long_straight,0
basis_weight_light_flag,0
horse_position_improvement_avg,0
venue_expected_pace,0
rest_days_optimal,0
pace_style_match_score,0
race_front_runner_count,0
course_turn_direction,0
course_is_outer,0
front_runner_competition,0
course_corner_count,0
course_start_to_corner_m,0
course_final_straight_m,0
is_class_up,0
is_chitose_bred,0
horse_c4_leader_rate,0
horse_last3f_avg,0
jockey_win_rate,0
jockey_races,0
trainer_win_rate,0
trainer_top3_rate,0
trainer_races,0
sire_win_rate,0
sire_races,0
horse_running_style,0
venue_pace_avg,0
bracket_bias,0
distance_category_encoded,0
track_condition_encoded,0
track_surface_encoded,0
bracket_number,0
horse_weight,0
sex_encoded,0
distance_m,0
basis_weight,0
field_size,0
race_class,0
class_change,0
is_class_down,0
weight_trend,0
horse_last3f_rank_avg,0
horse_inner_outer_diff,0
