feature,importance
horse_weight_zscore,251
basis_weight_zscore,219
age_zscore,212
time_deviation_score_avg_5,158
horse_number,138
past_1_finish_position_max,117
combo_avg_finish,103
horse_weight_change,96
sire_course_avg_finish,94
combo_overperform,94
l3f_deviation_score_avg_5,92
days_since_last_race,90
sire_course_win_rate,77
dist_avg_time,75
jockey_芝_win_rate,71
pace_fit_score,71
sire_wet_boost,71
jockey_ダート_win_rate,71
jockey_mile_win_rate,68
sire_course_place_rate,67
trainer_新潟_win_rate,65
bms_avg_finish,65
bms_win_rate,65
day_of_meeting,63
past_3_last_3f_time_std,62
jockey_intermediate_win_rate,60
bracket_avg_finish,60
distance_m,60
fast_track_score_avg,60
trainer_中山_win_rate,59
race_class_overbet_risk,58
trainer_小倉_win_rate,57
past_10_passing_order_1_std,56
past_3_margin_seconds_std,56
past_10_passing_order_1_mean,55
past_10_last_3f_time_std,54
surface_avg_last3f,54
jockey_sprint_win_rate,54
past_10_margin_seconds_std,53
past_10_finish_position_mean,53
past_5_last_3f_time_std,52
jockey_long_win_rate,52
venue_avg_finish,52
trainer_京都_win_rate,51
trainer_東京_win_rate,51
past_10_last_3f_time_median,50
jockey_新潟_win_rate,50
jockey_東京_win_rate,50
dist_avg_finish,49
jockey_中山_win_rate,49
finish_cv_last3,49
surface_avg_finish,48
place_rate_last10,47
past_1_last_3f_time_max,47
trainer_中京_win_rate,47
leader_ratio,46
past_10_margin_seconds_mean,46
nicks_win_rate,45
finish_cv_last10,43
past_3_margin_seconds_median,43
past_3_margin_seconds_mean,43
past_5_finish_position_mean,41
venue_races,41
trainer_阪神_win_rate,41
jockey_阪神_win_rate,41
heavy_track_score_avg,41
nicks_avg_finish,40
past_1_passing_order_1_max,39
jockey_京都_win_rate,38
jockey_小倉_win_rate,38
finish_cv_last5,38
past_3_finish_position_median,38
combo_win_rate,38
trainer_札幌_win_rate,37
past_5_margin_seconds_std,35
past_10_passing_order_4_std,35
past_10_finish_position_median,34
surface_races,34
win_rate_last5,34
jockey_福島_win_rate,33
past_1_margin_seconds_max,33
past_3_finish_position_std,33
past_3_passing_order_1_std,32
past_5_passing_order_1_mean,32
past_3_finish_position_mean,32
trainer_函館_win_rate,31
avg_finish_last10,31
past_10_last_3f_time_mean,31
past_5_margin_seconds_mean,31
past_3_last_3f_time_median,30
jockey_函館_win_rate,30
past_5_finish_position_std,30
past_10_passing_order_4_mean,30
past_5_last_3f_time_mean,29
combo_races,29
past_3_last_3f_time_mean,29
past_5_passing_order_4_std,29
trainer_福島_win_rate,29
past_5_last_3f_time_median,28
past_5_last_3f_time_max,28
past_3_last_3f_time_max,28
past_5_passing_order_4_mean,28
past_10_last_3f_time_max,27
past_5_passing_order_1_std,27
past_10_finish_position_std,26
finish_std_last5,26
bias_seasonal_score,26
past_3_passing_order_1_mean,26
past_5_passing_order_1_median,25
n_leaders,25
finish_std_last3,25
jockey_中京_win_rate,24
jockey_札幌_win_rate,24
prev_distance_m,23
past_3_passing_order_4_std,23
past_5_finish_position_median,23
age,23
past_3_passing_order_1_median,21
avg_finish_last3,21
past_10_margin_seconds_median,20
bracket_is_middle,20
past_10_passing_order_1_max,20
avg_finish_last5,20
past_10_passing_order_4_median,19
jockey_unknown_win_rate,19
past_10_passing_order_1_median,18
past_3_finish_position_max,18
past_3_passing_order_1_max,17
race_month,17
distance_change,16
finish_std_last10,16
past_5_passing_order_4_median,15
past_10_finish_position_max,15
past_10_margin_seconds_max,14
past_5_margin_seconds_median,14
past_10_passing_order_4_max,14
past_3_margin_seconds_max,13
past_1_last_3f_time_mean,13
past_1_passing_order_4_max,12
past_5_finish_position_max,12
past_3_passing_order_4_mean,12
dist_races,11
past_5_margin_seconds_max,11
jockey_marathon_win_rate,7
sex_牡,7
round_of_year,7
past_3_passing_order_4_median,6
bracket_is_inner,6
bracket_is_outer,4
past_3_passing_order_4_max,2
course_slope_percent,0
course_final_straight_m,0
is_long_straight,0
