feature,importance
past_1_finish_position_max,99
age_zscore,94
horse_weight_zscore,91
time_deviation_score_avg_5,82
sire_course_avg_finish,70
jockey_ダート_win_rate,61
jockey_芝_win_rate,53
combo_avg_finish,52
combo_overperform,51
jockey_intermediate_win_rate,47
sire_course_win_rate,44
days_since_last_race,43
jockey_mile_win_rate,42
trainer_新潟_win_rate,42
l3f_deviation_score_avg_5,41
trainer_中山_win_rate,41
past_10_finish_position_mean,39
past_3_last_3f_time_std,39
basis_weight_zscore,39
trainer_小倉_win_rate,36
surface_avg_finish,33
jockey_sprint_win_rate,32
bms_avg_finish,31
jockey_long_win_rate,30
place_rate_last10,30
past_10_finish_position_median,30
trainer_京都_win_rate,29
sire_course_place_rate,29
past_10_passing_order_1_mean,28
surface_avg_last3f,28
jockey_小倉_win_rate,28
trainer_中京_win_rate,27
past_3_margin_seconds_mean,27
past_10_passing_order_4_std,26
venue_avg_finish,26
pace_fit_score,26
finish_cv_last10,26
past_5_passing_order_1_mean,26
past_1_last_3f_time_max,25
past_3_finish_position_std,25
dist_avg_time,25
race_class_overbet_risk,25
sire_wet_boost,25
bms_win_rate,24
trainer_阪神_win_rate,24
finish_cv_last3,23
past_3_finish_position_mean,23
fast_track_score_avg,23
jockey_東京_win_rate,23
surface_races,23
past_3_finish_position_median,23
past_10_last_3f_time_std,21
nicks_avg_finish,21
past_5_last_3f_time_std,21
past_1_passing_order_1_max,20
past_1_margin_seconds_max,20
past_3_margin_seconds_median,20
past_10_margin_seconds_mean,20
nicks_win_rate,20
horse_number,20
dist_avg_finish,20
bracket_avg_finish,20
past_10_last_3f_time_mean,19
trainer_函館_win_rate,19
past_5_finish_position_mean,19
past_3_margin_seconds_std,19
combo_races,19
combo_win_rate,19
jockey_京都_win_rate,19
past_5_passing_order_1_median,19
past_3_last_3f_time_mean,18
past_3_last_3f_time_median,18
past_5_last_3f_time_median,17
jockey_福島_win_rate,17
jockey_阪神_win_rate,17
age,17
past_5_passing_order_1_std,16
past_10_last_3f_time_max,16
past_10_passing_order_1_std,16
past_5_margin_seconds_std,16
past_10_last_3f_time_median,16
horse_weight_change,15
past_5_passing_order_4_std,15
past_5_last_3f_time_mean,15
past_10_margin_seconds_std,15
trainer_東京_win_rate,15
finish_cv_last5,14
n_leaders,14
past_5_finish_position_median,14
past_10_passing_order_4_mean,13
finish_std_last5,13
heavy_track_score_avg,13
win_rate_last5,13
trainer_福島_win_rate,13
jockey_新潟_win_rate,13
past_3_passing_order_1_mean,12
finish_std_last10,12
avg_finish_last3,12
past_10_passing_order_1_median,12
jockey_中山_win_rate,12
past_3_last_3f_time_max,11
distance_m,11
jockey_札幌_win_rate,11
prev_distance_m,11
past_3_passing_order_1_max,10
past_5_margin_seconds_mean,10
jockey_中京_win_rate,10
bias_seasonal_score,10
past_3_passing_order_4_std,10
past_3_passing_order_1_median,10
leader_ratio,10
past_10_finish_position_max,9
past_5_passing_order_4_mean,9
jockey_unknown_win_rate,9
past_1_last_3f_time_mean,9
past_5_finish_position_std,9
past_3_passing_order_1_std,9
finish_std_last3,8
past_5_margin_seconds_median,8
past_10_finish_position_std,8
dist_races,7
jockey_函館_win_rate,7
trainer_札幌_win_rate,7
past_3_margin_seconds_max,7
past_5_last_3f_time_max,7
jockey_marathon_win_rate,6
avg_finish_last10,6
past_5_finish_position_max,6
avg_finish_last5,6
race_month,6
past_10_margin_seconds_max,6
distance_change,5
day_of_meeting,5
past_5_margin_seconds_max,5
past_10_passing_order_4_max,5
past_10_passing_order_1_max,5
past_10_margin_seconds_median,5
venue_races,5
past_1_passing_order_4_max,4
past_5_passing_order_4_median,4
bracket_is_middle,4
past_3_passing_order_4_mean,4
past_3_passing_order_4_max,4
past_10_passing_order_4_median,3
past_3_finish_position_max,3
round_of_year,3
sex_牡,2
past_3_passing_order_4_median,2
bracket_is_inner,1
bracket_is_outer,0
