feature,importance
horse_weight_zscore,51
age_zscore,50
time_deviation_score_avg_5,42
past_1_finish_position_max,39
combo_avg_finish,36
basis_weight_zscore,34
jockey_ダート_win_rate,27
jockey_mile_win_rate,27
trainer_小倉_win_rate,25
l3f_deviation_score_avg_5,25
sire_course_avg_finish,22
sire_course_win_rate,22
past_1_last_3f_time_max,22
days_since_last_race,22
past_3_last_3f_time_std,21
trainer_新潟_win_rate,21
surface_avg_finish,21
pace_fit_score,21
combo_overperform,21
past_10_finish_position_mean,20
past_10_passing_order_1_mean,19
jockey_芝_win_rate,19
jockey_中京_win_rate,19
horse_number,19
jockey_intermediate_win_rate,18
bms_win_rate,18
course_final_straight_m,17
trainer_中山_win_rate,17
dist_avg_time,17
past_5_last_3f_time_std,17
past_3_margin_seconds_mean,16
jockey_long_win_rate,16
jockey_sprint_win_rate,16
past_5_margin_seconds_std,15
finish_cv_last10,15
bms_avg_finish,15
race_class_overbet_risk,15
day_of_meeting,15
past_10_passing_order_4_mean,15
trainer_阪神_win_rate,15
bracket_avg_finish,15
trainer_京都_win_rate,14
dist_avg_finish,14
finish_std_last10,14
surface_races,14
past_10_finish_position_median,14
past_5_last_3f_time_mean,13
trainer_中京_win_rate,13
win_rate_last5,13
trainer_東京_win_rate,13
past_10_passing_order_1_std,13
sire_course_place_rate,13
surface_avg_last3f,13
sire_wet_boost,13
past_3_finish_position_median,13
past_3_passing_order_1_std,12
past_1_passing_order_1_max,12
venue_avg_finish,12
past_3_finish_position_mean,12
past_3_margin_seconds_std,12
jockey_小倉_win_rate,12
past_5_finish_position_mean,12
past_10_finish_position_std,12
nicks_win_rate,12
trainer_福島_win_rate,12
past_5_passing_order_4_std,12
past_1_margin_seconds_max,11
past_5_finish_position_std,11
finish_cv_last3,11
jockey_阪神_win_rate,11
past_10_margin_seconds_mean,11
jockey_京都_win_rate,10
fast_track_score_avg,10
avg_finish_last10,10
place_rate_last10,9
past_5_last_3f_time_median,9
past_5_passing_order_1_mean,9
past_10_last_3f_time_median,9
jockey_新潟_win_rate,9
jockey_東京_win_rate,9
past_10_passing_order_1_median,9
past_10_margin_seconds_std,9
past_10_last_3f_time_std,9
past_3_passing_order_1_max,8
combo_win_rate,8
horse_weight_change,8
past_3_passing_order_1_mean,8
past_3_margin_seconds_max,8
past_3_finish_position_std,8
past_3_last_3f_time_max,8
past_3_last_3f_time_mean,8
jockey_中山_win_rate,7
jockey_福島_win_rate,7
past_5_passing_order_1_std,7
race_month,7
age,7
leader_ratio,7
past_5_last_3f_time_max,7
finish_std_last5,7
avg_finish_last5,7
combo_races,7
past_10_last_3f_time_max,7
past_3_margin_seconds_median,7
past_5_margin_seconds_mean,7
past_10_finish_position_max,6
jockey_札幌_win_rate,6
past_5_passing_order_1_median,6
nicks_avg_finish,6
bias_seasonal_score,6
n_leaders,6
trainer_函館_win_rate,6
heavy_track_score_avg,6
past_10_margin_seconds_median,6
past_5_margin_seconds_median,6
course_slope_percent,6
past_3_passing_order_4_mean,6
past_5_passing_order_4_mean,6
avg_finish_last3,6
past_3_passing_order_1_median,5
finish_std_last3,5
distance_m,5
past_5_finish_position_median,5
past_3_last_3f_time_median,5
past_5_finish_position_max,5
jockey_函館_win_rate,5
past_3_passing_order_4_max,4
past_3_passing_order_4_std,4
past_1_last_3f_time_mean,4
past_1_passing_order_4_max,4
prev_distance_m,4
past_5_margin_seconds_max,4
past_5_passing_order_4_median,4
trainer_札幌_win_rate,3
dist_races,3
past_10_passing_order_1_max,3
past_10_last_3f_time_mean,3
jockey_unknown_win_rate,3
past_3_passing_order_4_median,3
past_10_passing_order_4_std,3
past_10_passing_order_4_max,2
past_10_passing_order_4_median,2
distance_change,2
finish_cv_last5,2
past_3_finish_position_max,2
course_corner_count,2
bracket_is_middle,1
venue_races,1
past_10_margin_seconds_max,1
is_steep_slope,1
bracket_is_outer,0
bracket_is_inner,0
jockey_marathon_win_rate,0
sex_牡,0
round_of_year,0
is_long_straight,0
