feature,importance
horse_left_turn_perf,287
horse_right_turn_perf,287
course_final_straight_m,106
age_zscore,97
prev_1_odds,90
past_1_finish_position_max,82
horse_weight_zscore,79
time_deviation_score_avg_5,66
combo_avg_finish,60
combo_overperform,55
days_since_last_race,55
jockey_芝_win_rate,54
sire_course_avg_finish,53
basis_weight_zscore,53
jockey_ダート_win_rate,52
prev_1_finish,51
jockey_intermediate_win_rate,50
sire_course_win_rate,49
pace_fit_score,49
jockey_mile_win_rate,48
prev_4_odds,47
past_3_last_3f_time_std,46
trainer_京都_win_rate,44
bracket_avg_finish,44
is_left_turn,43
venue_avg_finish,38
bms_avg_finish,38
race_class_overbet_risk,37
jockey_小倉_win_rate,37
past_5_last_3f_time_std,35
trainer_中山_win_rate,35
avg_finish_last10,35
jockey_東京_win_rate,34
week_cos,34
past_10_last_3f_time_std,33
past_10_passing_order_4_mean,33
prev_4_l3f,33
l3f_deviation_score_avg_5,32
trainer_新潟_win_rate,32
past_1_last_3f_time_max,32
prev_5_l3f,32
sire_course_place_rate,31
past_10_passing_order_1_mean,31
prev_3_l3f,31
n_leaders,30
trainer_中京_win_rate,30
past_5_passing_order_1_mean,30
combo_win_rate,30
prev_2_odds,30
trainer_福島_win_rate,29
age,29
horse_number,29
finish_cv_last5,29
finish_cv_last3,29
surface_avg_finish,28
past_10_margin_seconds_std,28
dist_avg_time,28
jockey_sprint_win_rate,28
past_3_finish_position_mean,28
sire_wet_boost,28
past_3_last_3f_time_mean,27
bms_win_rate,27
prev_1_l3f,27
jockey_long_win_rate,27
jockey_阪神_win_rate,27
past_3_passing_order_1_mean,27
trainer_阪神_win_rate,27
jockey_新潟_win_rate,27
jockey_札幌_win_rate,27
prev_3_odds,27
past_5_passing_order_1_std,27
jockey_中山_win_rate,26
past_10_margin_seconds_mean,26
trainer_東京_win_rate,26
dist_avg_finish,25
past_10_finish_position_mean,25
jockey_中京_win_rate,25
nicks_avg_finish,25
jockey_京都_win_rate,25
prev_2_l3f,24
trainer_小倉_win_rate,24
past_10_passing_order_1_std,24
past_5_margin_seconds_std,24
past_10_last_3f_time_median,23
prev_2_finish,23
prev_distance_m,23
finish_std_last5,22
surface_races,22
prev_5_odds,22
past_3_margin_seconds_std,22
past_3_passing_order_4_mean,21
horse_weight_change,21
finish_std_last10,21
past_3_finish_position_std,21
past_10_last_3f_time_max,21
past_3_passing_order_1_median,20
leader_ratio,19
nicks_win_rate,19
fast_track_score_avg,19
finish_cv_last10,19
past_5_finish_position_std,19
avg_finish_last3,19
past_3_finish_position_median,19
place_rate_last10,18
prev_5_finish,18
avg_finish_last5,18
combo_races,18
heavy_track_score_avg,18
course_slope_percent,17
past_3_last_3f_time_max,17
win_rate_last5,17
past_10_passing_order_1_median,17
trainer_函館_win_rate,17
week_sin,17
surface_avg_last3f,16
past_5_last_3f_time_median,16
past_10_passing_order_4_std,16
distance_change,16
past_5_finish_position_mean,16
past_3_margin_seconds_median,16
past_5_passing_order_4_std,16
distance_m,15
prev_4_finish,15
past_10_passing_order_4_median,15
dist_races,15
past_3_margin_seconds_mean,15
prev_3_finish,15
past_3_passing_order_4_std,15
past_3_passing_order_1_std,14
past_1_passing_order_1_max,14
jockey_函館_win_rate,14
jockey_福島_win_rate,14
past_1_margin_seconds_max,14
past_1_last_3f_time_mean,14
past_5_passing_order_1_median,13
jockey_unknown_win_rate,13
past_10_passing_order_4_max,13
past_10_last_3f_time_mean,12
past_10_finish_position_median,12
past_5_passing_order_4_mean,12
trainer_札幌_win_rate,12
past_5_last_3f_time_mean,11
past_5_last_3f_time_max,11
past_10_margin_seconds_median,11
past_5_finish_position_median,11
past_10_finish_position_std,11
past_10_finish_position_max,10
past_3_last_3f_time_median,10
past_5_margin_seconds_mean,10
past_5_margin_seconds_median,10
past_10_passing_order_1_max,9
past_3_passing_order_1_max,9
past_5_passing_order_4_median,8
past_3_passing_order_4_median,8
day_of_meeting,8
bracket_is_middle,8
finish_std_last3,7
bias_seasonal_score,7
race_month,7
month_sin,7
past_5_margin_seconds_max,7
past_5_finish_position_max,7
past_3_finish_position_max,6
past_10_margin_seconds_max,6
course_corner_count,6
past_3_passing_order_4_max,5
month_cos,5
sex_牡,5
round_of_year,4
past_3_margin_seconds_max,4
past_1_passing_order_4_max,4
bracket_is_inner,3
jockey_marathon_win_rate,2
bracket_is_outer,1
venue_races,1
