feature,importance
prev_1_odds,112
past_1_finish_position_max,89
age_zscore,77
horse_weight_zscore,72
time_deviation_score_avg_5,65
prev_1_finish,60
jockey_ダート_win_rate,52
combo_overperform,45
combo_avg_finish,45
jockey_芝_win_rate,44
prev_2_odds,43
jockey_intermediate_win_rate,41
sire_course_win_rate,38
l3f_deviation_score_avg_5,35
trainer_新潟_win_rate,35
sire_course_avg_finish,34
pace_fit_score,33
jockey_mile_win_rate,32
days_since_last_race,32
trainer_京都_win_rate,28
prev_2_finish,28
basis_weight_zscore,28
past_10_finish_position_mean,27
prev_1_l3f,27
trainer_小倉_win_rate,26
prev_3_odds,26
jockey_long_win_rate,26
jockey_東京_win_rate,25
jockey_sprint_win_rate,25
past_5_finish_position_mean,24
trainer_中山_win_rate,24
bms_win_rate,24
past_5_last_3f_time_std,23
surface_avg_finish,23
past_1_last_3f_time_max,23
jockey_阪神_win_rate,23
trainer_阪神_win_rate,23
sire_wet_boost,22
bms_avg_finish,22
sire_course_place_rate,22
past_10_passing_order_1_mean,22
place_rate_last10,21
bracket_avg_finish,21
past_3_last_3f_time_mean,21
past_3_last_3f_time_std,21
n_leaders,21
horse_number,20
combo_races,20
nicks_avg_finish,19
prev_4_odds,19
past_10_last_3f_time_median,19
past_10_finish_position_median,19
race_class_overbet_risk,18
surface_avg_last3f,18
jockey_中山_win_rate,18
finish_cv_last5,18
past_3_passing_order_1_mean,17
prev_5_l3f,17
prev_2_l3f,17
prev_3_l3f,17
fast_track_score_avg,17
jockey_京都_win_rate,17
jockey_小倉_win_rate,17
past_5_margin_seconds_std,16
past_10_passing_order_1_std,16
venue_avg_finish,15
past_5_passing_order_1_mean,15
finish_cv_last3,15
trainer_中京_win_rate,15
past_5_last_3f_time_mean,14
past_3_last_3f_time_median,14
trainer_東京_win_rate,14
dist_avg_finish,14
past_5_passing_order_4_std,14
jockey_新潟_win_rate,13
leader_ratio,13
past_10_margin_seconds_mean,13
past_3_margin_seconds_std,13
past_5_passing_order_1_std,13
surface_races,12
past_1_margin_seconds_max,12
past_1_last_3f_time_mean,12
past_3_margin_seconds_median,12
prev_5_odds,12
past_10_last_3f_time_std,12
finish_cv_last10,12
jockey_福島_win_rate,12
trainer_函館_win_rate,11
dist_races,11
jockey_札幌_win_rate,11
past_10_passing_order_4_std,11
past_10_last_3f_time_max,11
past_3_finish_position_mean,11
heavy_track_score_avg,11
prev_4_l3f,11
past_3_finish_position_max,10
past_5_margin_seconds_mean,10
nicks_win_rate,10
combo_win_rate,10
past_3_finish_position_std,10
dist_avg_time,10
past_10_passing_order_1_median,10
past_10_margin_seconds_std,10
jockey_中京_win_rate,10
jockey_unknown_win_rate,10
distance_m,9
bias_seasonal_score,9
finish_std_last3,9
past_3_passing_order_1_std,9
race_month,9
past_5_finish_position_median,9
trainer_福島_win_rate,9
past_10_margin_seconds_max,9
past_10_last_3f_time_mean,8
prev_distance_m,8
prev_3_finish,8
past_10_margin_seconds_median,8
past_10_passing_order_4_median,8
past_3_last_3f_time_max,8
past_3_margin_seconds_mean,8
avg_finish_last3,8
avg_finish_last10,8
trainer_札幌_win_rate,7
past_3_passing_order_4_std,7
past_3_finish_position_median,7
horse_weight_change,7
past_5_passing_order_1_median,7
age,6
finish_std_last5,6
jockey_函館_win_rate,6
past_10_passing_order_1_max,6
past_3_passing_order_4_mean,6
month_cos,6
past_10_passing_order_4_mean,6
avg_finish_last5,6
past_5_last_3f_time_median,5
past_5_last_3f_time_max,5
past_10_finish_position_std,5
past_3_passing_order_4_max,5
past_3_passing_order_1_median,5
past_3_passing_order_1_max,5
prev_4_finish,5
bracket_is_middle,5
win_rate_last5,5
past_1_passing_order_1_max,5
past_5_finish_position_std,5
finish_std_last10,4
distance_change,4
day_of_meeting,4
past_1_passing_order_4_max,4
past_5_passing_order_4_mean,4
past_5_margin_seconds_median,4
venue_races,4
round_of_year,4
past_5_passing_order_4_median,4
month_sin,3
past_10_finish_position_max,3
jockey_marathon_win_rate,3
past_10_passing_order_4_max,2
past_3_passing_order_4_median,2
past_3_margin_seconds_max,2
past_5_margin_seconds_max,1
past_5_finish_position_max,1
prev_5_finish,1
bracket_is_outer,0
sex_牡,0
bracket_is_inner,0
