オッズ帯,サンプル数,勝率,複勝率,5着内率,平均着順,中央値着順,Q1着順,Q3着順,ROI
~2倍,2300,0.4808695652173913,0.7995652173913044,0.9021739130434783,2.574782608695652,2.0,1.0,3.0,0.8056521739130436
2-3倍,4541,0.3138075313807531,0.6610878661087866,0.8203038978198635,3.6641708874697203,2.0,1.0,4.0,0.8049108125963444
3-5倍,10696,0.20016828721017202,0.5211293941660434,0.7114809274495139,4.573952879581152,3.0,2.0,6.0,0.7927543006731489
5-10倍,18384,0.11379460400348129,0.3667319408181027,0.5854547432550044,5.601610095735422,5.0,3.0,8.0,0.7947399912967799
10-20倍,19219,0.057859409958894846,0.2346115822883605,0.4338415110047349,6.939330870492742,6.0,4.0,9.0,0.8131068213746813
20-30倍,10935,0.033196159122085046,0.15528120713305898,0.3288523090992227,7.980612711476909,7.0,5.0,11.0,0.8018289894833105
30-50倍,12704,0.020465994962216624,0.10776133501259445,0.25669080604534006,8.723866498740554,8.0,5.0,11.0,0.7760311712846347
50-100倍,15194,0.011188627089640647,0.06291957351586153,0.17138344083190732,9.61734895353429,9.0,7.0,12.0,0.771311043833092
100-150倍,7614,0.006041502495403204,0.036249014972419225,0.11413186235881272,10.535198318886263,10.0,8.0,13.0,0.7117152613606514
150倍~,16628,0.001623767139764253,0.013230695212893913,0.04678854943468848,12.119677652152994,12.0,9.0,15.0,0.3587863844118354
