feature,importance
prev_finish,66714.84868351929
jockey_win_rate,26156.17589968763
horse_avg_finish,21735.10990979895
trainer_win_rate,11749.240822926164
horse_weight,11135.721686691046
days_since_last,8055.857488319278
age,6511.421058893204
horse_win_rate,5498.8902428270085
field_size,3884.292853489518
weight_change,3394.952333400026
race_number,2902.5657511353493
venue_encoded,2839.694380902685
distance_m,2820.436693176627
basis_weight,2181.3482028990984
horse_number,1988.1112419702113
round_of_year,1908.6051931381226
day_of_meeting,1863.2307879403234
bracket_number,1713.3614831864834
track_condition_encoded,603.8465738296509
is_late_race,119.15669095516205
distance_match,0.0
