feature,importance
prev_finish,43417.031085388735
jockey_win_rate,35841.818295715144
horse_avg_finish,19501.858564495575
trainer_win_rate,12588.033966874704
horse_weight,8318.730281583965
days_since_last,7209.424007939175
age,7106.640366882086
field_size,6077.816380549222
horse_win_rate,5299.096309013665
race_number,4596.440619379282
venue_encoded,3990.8745399713516
distance_m,3545.0254409527406
horse_number,3154.8061059713364
weight_change,3072.2907745931298
basis_weight,2582.668785870075
round_of_year,2320.9135159105062
day_of_meeting,1741.7938815057278
bracket_number,1555.9492942765355
track_condition_encoded,704.0031100511551
is_late_race,155.35299062728882
distance_match,0.0
