feature,importance
horse_last_finish,83301.32954025269
horse_last3_avg_finish,74905.90167331696
horse_pace_preference,44431.37456893921
jockey_top3_rate,39822.268854141235
horse_avg_c4_gap,26955.24312019348
prev_finish_category,26724.403604507446
jockey_win_rate,23020.50738143921
horse_front_runner_rate,17681.799493789673
pace_fit_score,15021.628664970398
surface_switch_flag,11458.479084014893
horse_total_races,9659.916934967041
post_style_conflict,9568.311599731445
horse_avg_finish,9407.56734752655
horse_top3_rate,9312.4625248909
distance_change,7939.149341583252
race_class,5209.0245933532715
age,5167.361713409424
front_runner_competition,4938.165603637695
trainer_top3_rate,4789.2325139045715
track_condition_encoded,4754.163272857666
course_final_straight_m,3326.984832763672
heavy_track_fit,2992.655825614929
horse_c4_gap_avg,2798.543291091919
trainer_win_rate,2415.7687244415283
venue_expected_pace,2297.426000595093
field_size,2294.6870489120483
horse_win_rate,2135.1361961364746
horse_weight,1980.9860954284668
venue_surface_pace_trend,1928.903091430664
distance_m,1447.1078872680664
style_straight_match,1440.5370869636536
horse_avg_c4_pos,1246.4731101989746
horse_avg_pace_lf,1157.2077112197876
horse_last3f_rank_avg,1083.701997756958
prev_race_class,1069.0282878875732
distance_extend_flag,802.8784942626953
horse_days_since_last,599.4852933883667
straight_ratio,281.2781009674072
horse_last3f_avg,259.5733985900879
venue_pace_avg,238.33200073242188
track_surface_encoded,214.93251037597656
basis_weight,177.64700317382812
bracket_bias,143.51509857177734
course_corner_count,130.58519744873047
race_front_runner_count,125.80950164794922
course_start_to_corner_m,123.10499954223633
horse_position_improvement_avg,103.25321912765503
pace_style_match_score,85.06399917602539
trainer_races,11.998200416564941
sire_win_rate,10.641599655151367
closer_long_straight_advantage,0.0
front_slope_disadvantage,0.0
course_turn_direction,0.0
is_class_up,0.0
bracket_number,0.0
class_change,0.0
sex_encoded,0.0
is_long_straight,0.0
weight_trend,0.0
distance_category_encoded,0.0
course_is_outer,0.0
course_slope_percent,0.0
jockey_races,0.0
sire_races,0.0
horse_c4_leader_rate,0.0
horse_running_style,0.0
basis_weight_light_flag,0.0
is_chitose_bred,0.0
rest_days_optimal,0.0
is_class_down,0.0
