group,avg_roi,std_roi,min_roi,max_roi,total_count,years_with_data,years_above_70,years_above_80,is_reproducible,is_strongly_reproducible,yearly_rois
芝_young_long_late,111.03267973856208,42.4494311581133,67.66666666666666,168.66666666666666,94,3,2,2,False,False,"[67.66666666666666, 168.66666666666666, 96.76470588235294]"
芝_young_short_middle,103.60399580328826,18.4980007842226,74.82142857142857,126.2962962962963,215,4,4,3,True,False,"[104.80769230769229, 74.82142857142857, 108.49056603773583, 126.2962962962963]"
ダート_old_short_early,97.38389873493257,28.27684921769948,59.183673469387756,138.88888888888889,216,4,3,3,False,False,"[138.88888888888889, 93.39285714285715, 59.183673469387756, 98.0701754385965]"
ダート_old_long_early,94.61135912698413,54.08421074617239,62.83333333333333,188.2857142857143,248,4,1,1,False,False,"[63.4375, 62.83333333333333, 188.2857142857143, 63.888888888888886]"
芝_young_long_middle,91.32047676115472,12.599616025554285,75.81818181818181,108.14814814814815,231,4,4,3,True,True,"[75.81818181818181, 98.09523809523809, 83.22033898305085, 108.14814814814815]"
芝_old_long_middle,87.10467379151774,11.468806696152596,77.0873786407767,105.34246575342465,857,4,4,2,True,False,"[77.0873786407767, 88.44339622641509, 77.54545454545455, 105.34246575342465]"
芝_old_short_early,82.91407481851128,28.39693711429914,54.41176470588235,120.54054054054053,175,4,2,2,False,False,"[120.54054054054053, 100.21276595744679, 54.41176470588235, 56.491228070175445]"
芝_old_long_late,78.84082583067638,6.930075813816953,67.74869109947643,85.1111111111111,753,4,3,2,True,False,"[78.24120603015075, 67.74869109947643, 84.26229508196721, 85.1111111111111]"
ダート_old_long_middle,78.00676013866223,11.229557742092705,66.90140845070422,93.79120879120877,803,4,2,2,False,False,"[83.44497607655502, 66.90140845070422, 67.88944723618089, 93.79120879120877]"
芝_old_short_middle,73.98559947476653,26.53487025327105,46.97183098591549,116.11570247933885,498,4,2,1,False,False,"[76.36363636363637, 116.11570247933885, 56.491228070175445, 46.97183098591549]"
ダート_young_short_early,72.76956251574991,7.512125986410325,60.223880597014926,80.19704433497537,1625,4,3,1,True,False,"[75.14354066985646, 60.223880597014926, 80.19704433497537, 75.5137844611529]"
芝_old_short_late,72.72950898308042,8.724550306322724,59.401709401709404,82.81632653061226,981,4,3,1,True,False,"[82.81632653061226, 77.5, 71.2, 59.401709401709404]"
ダート_old_short_late,72.34024358455432,9.477037803513529,59.85148514851485,84.1,786,4,2,1,False,False,"[78.39378238341969, 59.85148514851485, 84.1, 67.01570680628272]"
ダート_old_long_late,72.21241276381836,23.23445314839287,49.60526315789474,110.68749999999999,651,4,1,1,False,False,"[110.68749999999999, 49.60526315789474, 59.69325153374234, 68.86363636363636]"
ダート_old_short_middle,70.67667902685442,7.963783912939789,63.72093023255814,84.1764705882353,659,4,1,1,False,False,"[63.72093023255814, 66.49681528662421, 84.1764705882353, 68.3125]"
芝_young_long_early,70.32590241650388,9.693668308974841,58.225352112676056,80.68047337278105,1376,4,2,1,False,False,"[63.43023255813953, 78.9675516224189, 80.68047337278105, 58.225352112676056]"
芝_young_short_early,68.7088122605364,7.3556036938435705,56.25,75.19444444444444,1396,4,3,0,True,False,"[56.25, 75.19444444444444, 70.89080459770115, 72.5]"
ダート_young_long_early,67.98659388048388,8.766581451548436,53.422459893048135,75.06527415143603,1522,4,2,0,False,False,"[74.65968586387434, 53.422459893048135, 68.79895561357702, 75.06527415143603]"
障害_old_long_early,61.78630412859622,19.466243887905804,40.897435897435905,90.77922077922078,298,4,1,1,False,False,"[40.897435897435905, 90.77922077922078, 67.88235294117648, 47.58620689655172]"
