feature,importance,year,roi
horse_win_rate,0.0,2025,66.85962373371925
horse_top3_rate,197.4550018310547,2025,66.85962373371925
horse_avg_finish,0.0,2025,66.85962373371925
horse_total_races,1095.81005859375,2025,66.85962373371925
horse_last_finish,5721.66015625,2025,66.85962373371925
horse_last3_avg_finish,13873.7919921875,2025,66.85962373371925
horse_days_since_last,0.0,2025,66.85962373371925
horse_last3f_avg,0.0,2025,66.85962373371925
jockey_win_rate,3201.2719116210938,2025,66.85962373371925
jockey_top3_rate,7091.5679931640625,2025,66.85962373371925
jockey_races,0.0,2025,66.85962373371925
trainer_win_rate,0.0,2025,66.85962373371925
trainer_top3_rate,0.0,2025,66.85962373371925
trainer_races,0.0,2025,66.85962373371925
sire_win_rate,0.0,2025,66.85962373371925
sire_races,0.0,2025,66.85962373371925
horse_avg_c4_pos,202.2209930419922,2025,66.85962373371925
horse_avg_c4_gap,1187.0420227050781,2025,66.85962373371925
horse_running_style,0.0,2025,66.85962373371925
venue_pace_avg,0.0,2025,66.85962373371925
bracket_bias,0.0,2025,66.85962373371925
distance_category_encoded,0.0,2025,66.85962373371925
track_condition_encoded,0.0,2025,66.85962373371925
track_surface_encoded,0.0,2025,66.85962373371925
bracket_number,0.0,2025,66.85962373371925
horse_weight,0.0,2025,66.85962373371925
age,0.0,2025,66.85962373371925
sex_encoded,0.0,2025,66.85962373371925
distance_m,0.0,2025,66.85962373371925
basis_weight,0.0,2025,66.85962373371925
field_size,0.0,2025,66.85962373371925
race_class,0.0,2025,66.85962373371925
prev_race_class,0.0,2025,66.85962373371925
class_change,0.0,2025,66.85962373371925
is_class_up,0.0,2025,66.85962373371925
is_class_down,0.0,2025,66.85962373371925
weight_trend,0.0,2025,66.85962373371925
horse_last3f_rank_avg,0.0,2025,66.85962373371925
horse_c4_leader_rate,0.0,2025,66.85962373371925
is_chitose_bred,0.0,2025,66.85962373371925
rest_days_optimal,0.0,2025,66.85962373371925
heavy_track_fit,0.0,2025,66.85962373371925
prev_finish_category,1418.6179809570312,2025,66.85962373371925
distance_change,0.0,2025,66.85962373371925
distance_extend_flag,0.0,2025,66.85962373371925
surface_switch_flag,0.0,2025,66.85962373371925
basis_weight_light_flag,0.0,2025,66.85962373371925
horse_position_improvement_avg,0.0,2025,66.85962373371925
horse_front_runner_rate,0.0,2025,66.85962373371925
venue_expected_pace,0.0,2025,66.85962373371925
pace_style_match_score,0.0,2025,66.85962373371925
race_front_runner_count,0.0,2025,66.85962373371925
horse_c4_gap_avg,0.0,2025,66.85962373371925
post_style_conflict,0.0,2025,66.85962373371925
front_runner_competition,0.0,2025,66.85962373371925
course_corner_count,0.0,2025,66.85962373371925
