feature,mean,std,min,max,cv,range
horse_position_improvement_avg,0.0,0.0,0.0,0.0,0.0,0.0
track_condition_encoded,0.0,0.0,0.0,0.0,0.0,0.0
sire_win_rate,0.0,0.0,0.0,0.0,0.0,0.0
sex_encoded,0.0,0.0,0.0,0.0,0.0,0.0
rest_days_optimal,0.0,0.0,0.0,0.0,0.0,0.0
race_front_runner_count,0.0,0.0,0.0,0.0,0.0,0.0
is_long_straight,0.0,0.0,0.0,0.0,0.0,0.0
is_class_up,0.0,0.0,0.0,0.0,0.0,0.0
is_chitose_bred,0.0,0.0,0.0,0.0,0.0,0.0
horse_win_rate,0.0,0.0,0.0,0.0,0.0,0.0
horse_weight,0.0,0.0,0.0,0.0,0.0,0.0
venue_pace_avg,0.0,0.0,0.0,0.0,0.0,0.0
horse_c4_leader_rate,0.0,0.0,0.0,0.0,0.0,0.0
front_slope_disadvantage,0.0,0.0,0.0,0.0,0.0,0.0
weight_trend,0.0,0.0,0.0,0.0,0.0,0.0
course_corner_count,0.0,0.0,0.0,0.0,0.0,0.0
closer_long_straight_advantage,0.0,0.0,0.0,0.0,0.0,0.0
course_turn_direction,0.0,0.0,0.0,0.0,0.0,0.0
bracket_number,0.0,0.0,0.0,0.0,0.0,0.0
course_start_to_corner_m,0.0,0.0,0.0,0.0,0.0,0.0
course_slope_percent,0.0,0.0,0.0,0.0,0.0,0.0
distance_category_encoded,0.0,0.0,0.0,0.0,0.0,0.0
bracket_bias,0.0,0.0,0.0,0.0,0.0,0.0
basis_weight_light_flag,0.0,0.0,0.0,0.0,0.0,0.0
course_is_outer,0.0,0.0,0.0,0.0,0.0,0.0
jockey_top3_rate,12297.94,9466.19,2043.34,26917.75,0.77,24874.41
horse_avg_c4_pos,355.94,281.61,100.33,885.35,0.79,785.02
horse_total_races,517.15,409.06,0.0,1095.81,0.79,1095.81
horse_last3_avg_finish,23246.33,18774.09,3488.01,56280.76,0.81,52792.75
prev_finish_category,6685.99,5860.91,1397.25,14772.23,0.88,13374.98
horse_last_finish,25543.02,24639.57,1511.65,66499.54,0.96,64987.88999999999
horse_avg_c4_gap,5554.94,5536.46,193.59,13540.76,1.0,13347.17
distance_change,391.87,403.62,0.0,1298.71,1.03,1298.71
jockey_win_rate,5093.4,5308.39,57.05,14294.19,1.04,14237.140000000001
horse_top3_rate,2680.12,2865.57,83.47,8182.05,1.07,8098.58
horse_days_since_last,138.76,150.95,0.0,314.83,1.09,314.83
heavy_track_fit,299.72,334.41,0.0,794.4,1.12,794.4
surface_switch_flag,1751.84,2087.03,0.0,5610.27,1.19,5610.27
post_style_conflict,1375.66,1725.05,0.0,4801.96,1.25,4801.96
horse_front_runner_rate,3848.32,4844.82,0.0,12894.52,1.26,12894.52
horse_avg_finish,628.04,858.59,0.0,2148.05,1.37,2148.05
age,82.69,135.68,0.0,358.49,1.64,358.49
horse_c4_gap_avg,511.76,889.59,0.0,2532.82,1.74,2532.82
race_class,168.65,298.17,0.0,863.04,1.77,863.04
horse_running_style,33.22,61.9,0.0,145.88,1.86,145.88
horse_last3f_rank_avg,64.18,119.08,0.0,270.95,1.86,270.95
trainer_top3_rate,108.52,201.4,0.0,459.23,1.86,459.23
front_runner_competition,43.41,80.8,0.0,189.14,1.86,189.14
style_straight_match,57.99,109.65,0.0,273.54,1.89,273.54
prev_race_class,17.4,33.28,0.0,85.2,1.91,85.2
basis_weight,8.6,20.24,0.0,57.79,2.35,57.79
trainer_win_rate,116.83,275.37,0.0,786.07,2.36,786.07
venue_expected_pace,4.17,11.78,0.0,33.33,2.82,33.33
trainer_races,1.32,3.73,0.0,10.56,2.82,10.56
jockey_races,1.88,5.33,0.0,15.08,2.83,15.08
track_surface_encoded,23.87,67.52,0.0,190.98,2.83,190.98
distance_m,8.89,25.14,0.0,71.09,2.83,71.09
sire_races,0.6,1.7,0.0,4.8,2.83,4.8
field_size,15.65,44.27,0.0,125.22,2.83,125.22
is_class_down,1.63,4.62,0.0,13.07,2.83,13.07
class_change,3.49,9.88,0.0,27.94,2.83,27.94
horse_last3f_avg,39.25,111.03,0.0,314.03,2.83,314.03
course_final_straight_m,3.87,10.96,0.0,30.99,2.83,30.99
straight_ratio,3.3,9.33,0.0,26.39,2.83,26.39
distance_extend_flag,36.38,102.91,0.0,291.07,2.83,291.07
pace_style_match_score,1.02,2.9,0.0,8.2,2.84,8.2
