threshold,score_threshold,roi,hit_rate,bet_count,model
0.3,0.25092602611553777,80.22672455378678,29.763627592860587,2073,V31
0.4,0.22946344174819958,77.91244573082489,28.29232995658466,2764,V31
0.5,0.2101625912674343,74.80752532561506,26.512301013024604,3455,V31
0.6,0.19116633485883244,76.65862484921593,25.790108564535586,4145,V31
0.7,0.17255105753902905,76.01943755169562,24.607113316790734,4836,V31
0.8,0.14951031277489782,77.53573367106931,23.97322236294554,5527,V31
0.9,0.12481635881037606,76.27693792216147,23.17465422965584,6218,V31
0.95,0.10628784443446747,76.32028035959164,22.916349230534816,6563,V31
0.3,0.2033571769293685,74.16787264833575,26.19392185238784,2073,V32
0.4,0.18484563233490747,72.38784370477569,25.32561505065123,2764,V32
0.5,0.17063935786207962,77.06801736613605,24.63096960926194,3455,V32
0.6,0.15666349491889497,75.6887816646562,23.956574185765984,4145,V32
0.7,0.14226330041514376,76.7328370554177,23.407775020678244,4836,V32
0.8,0.12432345299162625,77.44345938121947,22.833363488330015,5527,V32
0.9,0.10163827487360962,78.93374075265359,22.418784174975876,6218,V32
0.95,0.08608747292486475,77.81045253694955,22.017370105134848,6563,V32
0.3,0.18093900416425165,72.8557645923782,24.02315484804631,2073,V33
0.4,0.16595242739389118,76.45079594790161,23.769898697539798,2764,V33
0.5,0.15279115868701862,78.69175108538352,23.560057887120113,3455,V33
0.6,0.140054696211711,78.51628468033776,23.18455971049457,4145,V33
0.7,0.12742035162432314,79.31348221670802,22.890818858560795,4836,V33
0.8,0.11203266691493201,78.18346299981908,21.928713587841507,5527,V33
0.9,0.09251685119639758,78.49308459311676,21.405596654872948,6218,V33
0.95,0.07993308902668353,78.07557519427093,21.04220630809081,6563,V33
0.3,0.2138470743945366,73.01977809937287,27.013989387361313,2073,Ensemble
0.4,0.19492412998876685,74.79015918958031,26.519536903039075,2764,Ensemble
0.5,0.179948612791817,75.46164978292332,25.586107091172217,3455,Ensemble
0.6,0.16456327415766117,76.24125452352231,24.559710494571775,4145,Ensemble
0.7,0.1489314956627311,77.49586435070306,23.862696443341605,4836,Ensemble
0.8,0.1306981329249533,79.29256377781797,23.466618418671974,5527,Ensemble
0.9,0.10851389708370764,77.57960759086524,22.660019298809907,6218,Ensemble
0.95,0.09286969099625943,77.58951698918177,22.38305652902636,6563,Ensemble
