odds_range,ev_threshold,score_pctl,pop_min,years_over_100,total_years,avg_roi,min_roi,max_roi,std_roi,total_bets,avg_bets_per_year
15-40,0.5,0.6,5,3,3,158.9537037037037,112.00000000000001,193.75,42.209211567527085,40,13.333333333333334
15-40,0.6,0.6,5,3,3,158.9537037037037,112.00000000000001,193.75,42.209211567527085,40,13.333333333333334
15-40,0.7,0.6,5,3,3,158.9537037037037,112.00000000000001,193.75,42.209211567527085,40,13.333333333333334
15-40,0.8,0.6,5,3,3,158.9537037037037,112.00000000000001,193.75,42.209211567527085,40,13.333333333333334
15-40,0.9,0.6,5,3,3,158.9537037037037,112.00000000000001,193.75,42.209211567527085,40,13.333333333333334
15-40,1.0,0.6,5,3,3,158.9537037037037,112.00000000000001,193.75,42.209211567527085,40,13.333333333333334
15-40,1.2,0.6,5,3,3,158.9537037037037,112.00000000000001,193.75,42.209211567527085,40,13.333333333333334
8-40,0.5,0.6,5,4,5,115.49879227053141,0.0,172.22222222222223,68.96627165252984,78,15.6
8-40,0.6,0.6,5,4,5,115.49879227053141,0.0,172.22222222222223,68.96627165252984,78,15.6
8-40,0.7,0.6,5,4,5,115.49879227053141,0.0,172.22222222222223,68.96627165252984,78,15.6
8-40,0.8,0.6,5,4,5,115.49879227053141,0.0,172.22222222222223,68.96627165252984,78,15.6
8-40,0.9,0.6,5,4,5,115.49879227053141,0.0,172.22222222222223,68.96627165252984,78,15.6
8-40,1.0,0.6,5,4,5,115.49879227053141,0.0,172.22222222222223,68.96627165252984,78,15.6
8-40,1.2,0.6,5,4,5,115.49879227053141,0.0,172.22222222222223,68.96627165252984,78,15.6
