period,tansho_ratio,fukusho_ratio,bet_count,total_return,roi,filter
Valid,100,0,3192,241210.0,0.7556704260651629,
Valid,0,100,3192,249100.0,0.7803884711779449,
Valid,50,50,3192,245155.0,0.7680294486215539,
Valid,70,30,3192,243577.0,0.7630858395989975,
Valid,30,70,3192,246733.0,0.7729730576441103,
Valid,80,20,3192,242788.0,0.7606140350877193,
Valid,20,80,3192,247522.0,0.7754448621553884,
Valid,50,50,1357,,0.7871407516580693,sd0.1
Valid,70,30,1357,,0.7728297715549005,sd0.1
Valid,30,70,1357,,0.8014517317612381,sd0.1
Valid,50,50,515,,0.7700970873786408,sd0.2
Valid,70,30,515,,0.7461747572815534,sd0.2
Valid,30,70,515,,0.7940194174757281,sd0.2
Valid,50,50,182,,0.795054945054945,sd0.3
Valid,70,30,182,,0.7678021978021978,sd0.3
Valid,30,70,182,,0.8223076923076923,sd0.3
Test,100,0,5709,410600.0,0.7192152741285689,
Test,0,100,5709,439380.0,0.7696269048870205,
Test,50,50,5709,424990.0,0.7444210895077947,
Test,70,30,5709,419234.0,0.7343387633561044,
Test,30,70,5709,430746.0,0.754503415659485,
Test,80,20,5709,416356.0,0.7292976002802593,
Test,20,80,5709,433624.0,0.7595445787353302,
Test,50,50,2390,,0.7543096234309623,sd0.1
Test,70,30,2390,,0.732652719665272,sd0.1
Test,30,70,2390,,0.7759665271966527,sd0.1
Test,50,50,906,,0.7623068432671082,sd0.2
Test,70,30,906,,0.7420640176600442,sd0.2
Test,30,70,906,,0.7825496688741722,sd0.2
Test,50,50,350,,0.7532857142857143,sd0.3
Test,70,30,350,,0.7282,sd0.3
Test,30,70,350,,0.7783714285714286,sd0.3
