period,filter,bet_count,hit_count,hit_rate,roi
Valid,none,3192,1524,0.4774436090225564,0.7803884711779449
Valid,edge0.8,627,112,0.17862838915470494,0.70207336523126
Valid,edge1.0,490,80,0.16326530612244897,0.7351020408163266
Valid,edge1.2,386,57,0.14766839378238342,0.7691709844559586
Valid,edge1.5,303,39,0.12871287128712872,0.7788778877887789
Valid,edge2.0,225,23,0.10222222222222223,0.7133333333333334
Valid,sd0.1,1357,744,0.548268238761975,0.8229182019159912
Valid,sd0.2,515,306,0.5941747572815534,0.8299029126213592
Valid,sd0.3,182,121,0.6648351648351648,0.8631868131868132
Valid,sd0.1_edge0.8,148,39,0.2635135135135135,0.8844594594594595
Valid,sd0.1_edge1.0,104,27,0.25961538461538464,0.9528846153846153
Valid,sd0.1_edge1.2,73,18,0.2465753424657534,0.9958904109589041
Valid,sd0.2_edge0.8,36,9,0.25,0.8333333333333334
Test,none,5709,2758,0.48309686459975476,0.7696269048870205
Test,edge0.8,1186,209,0.17622259696458684,0.6295109612141653
Test,edge1.0,913,138,0.1511500547645126,0.6198247535596934
Test,edge1.2,740,89,0.12027027027027028,0.5633783783783783
Test,edge1.5,584,59,0.10102739726027397,0.5523972602739726
Test,edge2.0,416,31,0.07451923076923077,0.5355769230769231
Test,sd0.1,2390,1318,0.5514644351464435,0.8084518828451883
Test,sd0.2,906,546,0.6026490066225165,0.8129139072847682
Test,sd0.3,350,219,0.6257142857142857,0.816
Test,sd0.1_edge0.8,254,58,0.2283464566929134,0.7429133858267717
Test,sd0.1_edge1.0,168,33,0.19642857142857142,0.7613095238095238
Test,sd0.1_edge1.2,122,17,0.13934426229508196,0.6221311475409836
Test,sd0.2_edge0.8,57,9,0.15789473684210525,0.4070175438596491
Test,sd0.2_edge1.0,34,4,0.11764705882352941,0.29411764705882354
