bet_type,period,bet_count,win_count,hit_rate,avg_payout,roi
tansho,Valid,3192,671,0.21021303258145363,359.47839046199704,0.7556704260651629
fukusho,Valid,3192,1524,0.4774436090225564,163.45144356955382,0.7803884711779449
umaren,Valid,3192,239,0.07487468671679198,831.5062761506276,0.6225877192982456
wide,Valid,3192,591,0.18515037593984962,375.78680203045684,0.6957706766917293
sanrenpuku,Valid,3192,148,0.046365914786967416,1394.9324324324325,0.6467731829573935
tansho,Test,5709,1173,0.20546505517603783,350.04262574595055,0.7192152741285689
fukusho,Test,5709,2758,0.48309686459975476,159.31109499637418,0.7696269048870205
umaren,Test,5709,469,0.08215098966544053,874.2643923240938,0.7182168505867927
wide,Test,5709,1075,0.1882991767384831,364.72558139534885,0.6867752671220879
sanrenpuku,Test,5709,260,0.045542126466981955,1168.6538461538462,0.5322298125766334
