horse1,horse2,odds
1,2,657.4
1,3,1339.2
1,4,473.9
1,5,1710.6
1,6,2001.9
1,7,248.7
1,8,357.4
1,9,521.3
1,10,774.9
1,11,702.3
1,12,820.7
1,13,2003.8
1,14,3746.6
1,15,1062.4
1,16,1180.9
2,3,429.9
2,4,74.3
2,5,933.3
2,6,998.1
2,7,30.1
2,8,36.7
2,9,75.0
2,10,192.6
2,11,100.7
2,12,164.9
2,13,450.1
2,14,1811.1
2,15,250.3
2,16,272.4
3,4,251.8
3,5,1498.6
3,6,1500.7
3,7,118.2
3,8,93.7
3,9,211.3
3,10,417.7
3,11,393.9
3,12,402.7
3,13,891.1
3,14,3631.5
3,15,429.1
3,16,462.6
4,5,550.0
4,6,661.9
4,7,13.9
4,8,17.9
4,9,37.9
4,10,92.3
4,11,57.7
4,12,89.4
4,13,267.1
4,14,829.6
4,15,146.4
4,16,110.0
5,6,1472.7
5,7,265.6
5,8,374.4
5,9,622.6
5,10,900.5
5,11,714.6
5,12,801.8
5,13,2074.1
5,14,4116.2
5,15,1127.1
5,16,1243.7
6,7,295.8
6,8,457.1
6,9,759.4
6,10,1201.6
6,11,904.0
6,12,840.1
6,13,2285.8
6,14,5042.8
6,15,1679.6
6,16,1585.7
7,8,7.2
7,9,15.7
7,10,42.0
7,11,19.2
7,12,41.7
7,13,121.4
7,14,442.9
7,15,68.9
7,16,60.9
8,9,11.5
8,10,24.1
8,11,25.9
8,12,18.9
8,13,78.6
8,14,169.0
8,15,25.5
8,16,20.9
9,10,57.5
9,11,58.4
9,12,65.0
9,13,207.9
9,14,505.0
9,15,85.9
9,16,70.0
10,11,117.1
10,12,127.6
10,13,312.3
10,14,866.8
10,15,130.5
10,16,140.4
11,12,88.1
11,13,330.6
11,14,866.1
11,15,141.9
11,16,120.5
12,13,218.4
12,14,700.9
12,15,105.5
12,16,89.8
13,14,1888.2
13,15,461.3
13,16,322.4
14,15,583.2
14,16,740.4
15,16,132.6
