period,condition,n_bets,n_hits,hit_rate,roi
Valid,全レース,3192,671,0.21021303258145363,0.7556704260651629
Valid,ペース予測マッチ,435,92,0.21149425287356322,0.7342528735632184
Valid,ペース実績マッチ,692,131,0.1893063583815029,0.775578034682081
Valid,ペース予測不一致,2757,579,0.2100108813928183,0.7590496916938702
Valid,ペース適性あり,1387,268,0.1932227829848594,0.7472963229992791
Test,全レース,5709,1173,0.20546505517603783,0.7192152741285689
Test,ペース予測マッチ,583,92,0.15780445969125215,0.5466552315608919
Test,ペース実績マッチ,894,135,0.15100671140939598,0.62248322147651
Test,ペース予測不一致,5126,1081,0.21088568084276238,0.7388412017167382
Test,ペース適性あり,1783,281,0.15759955131800338,0.6664610207515423
