period,edge_thresh,conf_thresh,bet_count,tansho_roi,tansho_hit,fukusho_roi,fukusho_hit
Valid,1.0,0.0,627,0.7011164274322169,0.044657097288676235,0.70207336523126,0.17862838915470494
Valid,1.0,0.1,148,0.647972972972973,0.04054054054054054,0.8844594594594595,0.2635135135135135
Valid,1.0,0.2,36,0.49166666666666664,0.027777777777777776,0.8333333333333334,0.25
Valid,1.2,0.0,508,0.7289370078740157,0.04133858267716536,0.7429133858267717,0.16929133858267717
Valid,1.2,0.1,111,0.8639639639639639,0.05405405405405406,0.9711711711711711,0.2702702702702703
Valid,1.5,0.0,385,0.6763636363636364,0.03116883116883117,0.7711688311688312,0.14805194805194805
Valid,1.5,0.1,73,1.0328767123287672,0.0547945205479452,0.9958904109589041,0.2465753424657534
Valid,2.0,0.0,287,0.662020905923345,0.027874564459930314,0.7418118466898954,0.11498257839721254
Valid,2.0,0.1,34,1.1647058823529413,0.058823529411764705,1.2323529411764707,0.2647058823529412
Test,1.0,0.0,1187,0.6921651221566976,0.039595619208087615,0.6289806234203875,0.17607413647851727
Test,1.0,0.1,254,0.8476377952755906,0.05905511811023622,0.7429133858267717,0.2283464566929134
Test,1.0,0.2,57,0.612280701754386,0.05263157894736842,0.4070175438596491,0.15789473684210525
Test,1.2,0.0,955,0.716544502617801,0.03455497382198953,0.634869109947644,0.15916230366492146
Test,1.2,0.1,182,0.795054945054945,0.04395604395604396,0.7697802197802198,0.2032967032967033
Test,1.2,0.2,36,0.4361111111111111,0.027777777777777776,0.2777777777777778,0.1111111111111111
Test,1.5,0.0,740,0.7233783783783784,0.02972972972972973,0.5633783783783783,0.12027027027027028
Test,1.5,0.1,122,0.7844262295081967,0.03278688524590164,0.6221311475409836,0.13934426229508196
Test,2.0,0.0,537,0.7175046554934823,0.0223463687150838,0.5407821229050279,0.09124767225325885
Test,2.0,0.1,74,1.0810810810810811,0.04054054054054054,0.731081081081081,0.13513513513513514
