period,conf_thresh,n_races,n_bets,bet_amount,hits,hit_rate,payout,roi
2021-01~2021-07,0.0,1752,5256,525600,389,0.22203196347031964,447220,0.8508751902587519
2021-01~2021-07,0.05,1302,3906,390600,300,0.2304147465437788,349330,0.894342037890425
2021-01~2021-07,0.1,957,2871,287100,228,0.23824451410658307,268740,0.936050156739812
2021-01~2021-07,0.15,689,2067,206700,164,0.23802612481857766,197520,0.9555878084179971
2021-07~2022-01,0.0,1704,5112,511200,287,0.16842723004694835,327600,0.6408450704225352
2021-07~2022-01,0.05,1163,3489,348900,222,0.19088564058469476,237080,0.6795070220693609
2021-07~2022-01,0.1,876,2628,262800,166,0.18949771689497716,174750,0.6649543378995434
2021-07~2022-01,0.15,658,1974,197400,125,0.1899696048632219,128740,0.652178318135765
2022-01~2022-07,0.0,1452,4356,435600,269,0.18526170798898073,275210,0.6317952249770432
2022-01~2022-07,0.05,1108,3324,332400,214,0.1931407942238267,216330,0.6508122743682311
2022-01~2022-07,0.1,897,2691,269100,170,0.189520624303233,167320,0.6217762913415087
2022-01~2022-07,0.15,727,2181,218100,136,0.18707015130674004,120660,0.553232462173315
2022-07~2023-01,0.0,1728,5184,518400,318,0.1840277777777778,348780,0.6728009259259259
2022-07~2023-01,0.05,1193,3579,357900,239,0.20033528918692373,259940,0.7262922604079352
2022-07~2023-01,0.1,913,2739,273900,175,0.19167579408543264,215160,0.7855421686746988
2022-07~2023-01,0.15,699,2097,209700,136,0.19456366237482117,175430,0.8365760610395804
2023-01~2023-07,0.0,1728,5184,518400,352,0.2037037037037037,344110,0.663792438271605
2023-01~2023-07,0.05,1266,3798,379800,268,0.21169036334913113,251270,0.6615850447604003
2023-01~2023-07,0.1,914,2742,274200,209,0.2286652078774617,189460,0.6909555069292487
2023-01~2023-07,0.15,651,1953,195300,153,0.2350230414746544,137100,0.7019969278033794
2023-07~2024-01,0.0,1464,4392,439200,265,0.18101092896174864,318640,0.7255009107468123
2023-07~2024-01,0.05,928,2784,278400,182,0.1961206896551724,227060,0.8155890804597701
2023-07~2024-01,0.1,664,1992,199200,121,0.1822289156626506,136420,0.6848393574297189
2023-07~2024-01,0.15,461,1383,138300,84,0.1822125813449024,92770,0.6707881417208966
2024-01~2024-07,0.0,1536,4608,460800,320,0.20833333333333334,351670,0.7631727430555556
2024-01~2024-07,0.05,1131,3393,339300,249,0.22015915119363394,260090,0.7665487768936045
2024-01~2024-07,0.1,867,2601,260100,201,0.23183391003460208,202480,0.7784698193002692
2024-01~2024-07,0.15,644,1932,193200,149,0.23136645962732919,147990,0.7659937888198758
2024-07~2025-01,0.0,1654,4962,496200,295,0.17835550181378476,310790,0.6263401854091092
2024-07~2025-01,0.05,1028,3084,308400,218,0.21206225680933852,205480,0.6662775616083009
2024-07~2025-01,0.1,700,2100,210000,152,0.21714285714285714,150850,0.7183333333333334
2024-07~2025-01,0.15,461,1383,138300,94,0.2039045553145336,83010,0.6002169197396963
