period,edge_thresh,conf_thresh,n_races,umaren_roi,umatan_roi
2021-01~2021-07,1.0,0.0,389,0.46066838046272496,0.2629820051413882
2021-01~2021-07,1.0,0.1,150,0.6493333333333333,0.682
2021-01~2021-07,1.2,0.0,306,0.39738562091503266,0.3111111111111111
2021-01~2021-07,1.2,0.1,111,0.4810810810810811,0.8576576576576577
2021-01~2021-07,1.5,0.0,218,0.3357798165137615,0.43669724770642204
2021-01~2021-07,1.5,0.1,67,0.7970149253731343,1.4208955223880597
2021-07~2022-01,1.0,0.0,541,0.5717190388170056,0.6203327171903882
2021-07~2022-01,1.0,0.1,154,0.575974025974026,0.7376623376623377
2021-07~2022-01,1.2,0.0,420,0.40523809523809523,0.7095238095238096
2021-07~2022-01,1.2,0.1,94,0.8393617021276596,1.2085106382978723
2021-07~2022-01,1.5,0.0,330,0.25545454545454543,0.3903030303030303
2021-07~2022-01,1.5,0.1,63,0.8047619047619048,1.073015873015873
2022-01~2022-07,1.0,0.0,348,0.3054597701149425,0.04109195402298851
2022-01~2022-07,1.0,0.1,129,0.05116279069767442,0.0
2022-01~2022-07,1.2,0.0,284,0.3742957746478873,0.05035211267605634
2022-01~2022-07,1.2,0.1,103,0.06407766990291262,0.0
2022-01~2022-07,1.5,0.0,203,0.5236453201970444,0.07044334975369458
2022-01~2022-07,1.5,0.1,63,0.10476190476190476,0.0
2022-07~2023-01,1.0,0.0,550,0.48854545454545456,0.11436363636363636
2022-07~2023-01,1.0,0.1,155,0.8470967741935483,0.22774193548387098
2022-07~2023-01,1.2,0.0,448,0.44933035714285713,0.07366071428571429
2022-07~2023-01,1.2,0.1,117,0.7017094017094017,0.13675213675213677
2022-07~2023-01,1.5,0.0,346,0.473121387283237,0.0
2022-07~2023-01,1.5,0.1,80,0.88375,0.0
2023-01~2023-07,1.0,0.0,398,0.42236180904522613,0.25753768844221103
2023-01~2023-07,1.0,0.1,152,0.9651315789473685,0.46578947368421053
2023-01~2023-07,1.2,0.0,293,0.4566552901023891,0.18191126279863482
2023-01~2023-07,1.2,0.1,107,1.250467289719626,0.4981308411214953
2023-01~2023-07,1.5,0.0,201,0.4009950248756219,0.0
2023-01~2023-07,1.5,0.1,71,1.1352112676056338,0.0
2023-07~2024-01,1.0,0.0,482,0.42365145228215767,0.3912863070539419
2023-07~2024-01,1.0,0.1,131,0.9687022900763359,0.7755725190839695
2023-07~2024-01,1.2,0.0,391,0.28107416879795394,0.22250639386189258
2023-07~2024-01,1.2,0.1,85,0.3835294117647059,0.0
2023-07~2024-01,1.5,0.0,293,0.2501706484641638,0.27918088737201363
2023-07~2024-01,1.5,0.1,56,0.0,0.0
2024-01~2024-07,1.0,0.0,425,0.9750588235294118,0.9171764705882353
2024-01~2024-07,1.0,0.1,151,0.4867549668874172,1.2046357615894039
2024-01~2024-07,1.2,0.0,323,0.8572755417956657,0.5377708978328173
2024-01~2024-07,1.2,0.1,107,0.505607476635514,1.4775700934579439
2024-01~2024-07,1.5,0.0,224,0.8004464285714286,0.7754464285714285
2024-01~2024-07,1.5,0.1,65,0.8323076923076923,2.4323076923076923
2024-07~2025-01,1.0,0.0,541,0.6648798521256931,0.5299445471349353
2024-07~2025-01,1.0,0.1,163,0.3067484662576687,0.14969325153374233
2024-07~2025-01,1.2,0.0,431,0.7503480278422274,0.605568445475638
2024-07~2025-01,1.2,0.1,120,0.4166666666666667,0.20333333333333334
2024-07~2025-01,1.5,0.0,348,0.7155172413793104,0.29195402298850576
2024-07~2025-01,1.5,0.1,92,0.36195652173913045,0.0
